stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,9.44,0,3.15,0,0,0
 14-21,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,4
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,0,0,5.75,0,0,0.82,0,1.64
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0.81
 48-58,0,0,0.57,2.87,0,0,0,0,0,0,0,0,1.72,0.57,0,0.57,0,0.57
 60-70,0,0,0,0.98,0,0,2.94,0,0,0.98,0,0,2.94,0,0,1.96,0,0
 72-82,0,0,0,0.98,0,0,0.98,0,1.96,0,0,0,0.98,0,0,1.96,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,1.06,0,2.12,0,0,4.25,0,0
 96-106,0,0,0,1.09,1.09,1.09,1.09,0,0,0,0,1.09,1.09,0,0,3.28,0,0
108-118,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,3.83,0.77,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,13.72,0,0
