stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,olfactory,otic,periderm,taste
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0
 24-34,0,0.82,0,0,0,0,0.82,0,0.82,0,0,0,2.46,0.82,1.64,0.82,11.49,0
 36-46,0,0,0.81,0,0,0,0,0,1.61,0.81,0,0,0.81,5.64,0,2.42,31.42,0
 48-58,0,0,1.15,1.72,0,0,0,0.57,0,1.15,0.57,0.57,2.87,2.87,0.57,0.57,18.36,0
 60-70,0,0,0.98,0.98,0.98,0,0,0,0.98,0,0.98,0,3.93,11.78,0.98,6.87,44.17,0
 72-82,0,0,3.93,1.96,0.98,0,0,0.98,5.89,5.89,0,0,6.87,1.96,2.94,1.96,38.28,0.98
 84-94,0,0,7.43,0,2.12,0,4.25,3.19,8.5,3.19,0,0,2.12,4.25,1.06,1.06,137,1.06
 96-106,0,0,13.11,2.19,0,0,2.19,0,7.65,2.19,1.09,1.09,6.56,4.37,5.46,3.28,89.61,1.09
108-118,0,0,11.49,0,0,0.77,2.3,0,5.36,6.13,0,1.53,2.3,0.77,3.06,5.36,64.34,1.53
120,0,0,9.8,1.96,0,1.96,3.92,0,7.84,1.96,0,0,7.84,1.96,3.92,3.92,39.2,0
