stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,1.64,73.06,0,0.82,0,0.82,0,0,0,0,2.46,0,0,8.21,17.24,0.82,0,0,1.64,0,0.82,13.13,0.82,0,0,0,0
 36-46,0.81,0,0,0.81,189.33,0,0,0,0,0.81,0,0,0,0.81,0,0,12.89,23.36,0,0,0,2.42,0,0,3.22,2.42,0,0.81,0,0
 48-58,0,0,0,10.33,151.48,0,0.57,1.15,0,0,0,0,0.57,1.15,0,0,6.89,25.82,0,0.57,0,0.57,0,0,0,5.74,0,0,0,0
 60-70,0.98,0,0,9.82,140.36,0,0,0,0,0,0,0.98,0,2.94,0.98,0,11.78,23.56,0,0,0,0.98,0,0,0,4.91,0.98,0.98,0,0.98
 72-82,2.94,0.98,0,12.76,92.28,0,0,3.93,0,0,0,0,0,9.82,0,0.98,7.85,15.71,0,0,0.98,0.98,0,0,0,1.96,0,1.96,0,0.98
 84-94,3.19,1.06,0,13.81,103.02,0,0,0,0,0,0,1.06,0,8.5,0,1.06,7.43,18.05,1.06,0,0,2.12,1.06,0,0,4.25,0,1.06,0,1.06
 96-106,1.09,4.37,1.09,3.28,80.87,1.09,0,2.19,0,0,0,0,0,8.74,1.09,0,5.46,18.58,0,0,0,3.28,0,0,0,0,0,1.09,1.09,0
108-118,1.53,0.77,0.77,4.6,104.94,0,0,3.06,0.77,0,0.77,0,0,9.19,0,0.77,16.09,13.02,0,0,0,3.06,0,0,0,0,0.77,0,0,0.77
120,0,1.96,0,0,64.67,0,0,3.92,1.96,0,0,0,0,1.96,0,0,7.84,13.72,0,0,0,0,0,0,0,1.96,0,0,0,1.96
