stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,1,0,6,0,0,2,0,0
 24-34,0,0,0.82,0,4.93,0,0,0,0,0,4.93,0,0,0,0,0,0.82,0,0,0.82,77.98,0,0,0,0,0,0,0,18.88,0,0,29.55,0,0
 36-46,0,0,0.81,0,36.26,0,0.81,0,4.03,0,0.81,0,0,0,0,0,0.81,0,0,0,343.22,0,0.81,0,0,0,0,0.81,41.89,0,0,34.64,0,0
 48-58,0,0,2.3,0.57,102.71,0.57,0,0,13.2,0,2.87,0,0,0,0,0.57,2.87,0,0,0,407.4,0.57,0,0,0,0.57,0,0,88.37,0,0,24.1,0,0.57
 60-70,0,0,2.94,0,360.22,0,0,0,14.72,1.96,3.93,0.98,0,0,0,0.98,6.87,0,0,0.98,606.58,0,0,0,0,1.96,0,0,93.24,0,0,15.7,0,0
 72-82,0,1.96,7.85,1.96,400.52,0,0,0.98,19.63,0.98,2.94,0,0,0.98,0,0,12.76,0,0,0.98,450.58,0,2.94,0,0,0,0,0,43.19,0.98,0,35.34,2.94,0.98
 84-94,0,0,1.06,0,245.33,0,0,0,12.74,0,0,0,1.06,0,0,2.12,15.93,0,0,0,202.85,0,0,0,0,1.06,0,0,30.8,0,1.06,37.17,0,1.06
 96-106,0,0,2.19,7.65,190.16,0,0,0,21.86,0,4.37,1.09,0,0,0,0,6.56,1.09,1.09,2.19,192.34,0,2.19,0,2.19,2.19,0,0,15.3,0,0,38.25,0,1.09
108-118,0,0,6.89,0.77,162.38,0,0,0,14.55,0,2.3,1.53,0.77,0,0,0.77,5.36,0,0.77,0,205.28,0,3.06,0,0,1.53,0,0,6.89,0.77,0,27.57,0.77,0.77
120,0,0,3.92,0,156.78,0,0,0,7.84,0,5.88,0,0,0,1.96,0,3.92,0,0,0,223.42,0,0,0,0,1.96,0,0,11.76,0,0,19.6,1.96,0
