stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,107,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,56,0,0,0,0,0,21,0,5,21,0,0,0
 24-34,0,0,1.64,0,0,0,0,1.64,0,0,0.82,0,0,0,0,0.82,0,0,0.82,0,3.28,0,0,0.82,286.48,1.64,11.49,0,0,1.64,0,0,0,105.89,0,1.64,0
 36-46,0,0,0,0,0,0,0,27.39,0,0,2.42,0,0,0,0,0,0,0,0.81,0,2.42,0,0,0,638.09,0,9.67,0,0,0.81,0,0,0,184.5,0,0,0
 48-58,0,0,0.57,0,3.44,0,0,118.78,0,0,9.18,0,0,0.57,0,0,0,0.57,0.57,1.15,10.33,0,0,2.3,837.18,0,6.31,0,0,1.72,0,0,0,144.03,0,1.72,2.3
 60-70,0,0,0.98,0,1.96,0,0,187.47,0.98,0,4.91,0.98,0.98,0,1.96,0,0.98,0.98,0.98,0,7.85,0,1.96,0.98,1207.27,0.98,6.87,0.98,0,0.98,0,0,0,129.56,0,0,0
 72-82,0,0,0,0,3.93,3.93,0,172.77,0,0,16.69,3.93,0,0,0.98,0,0,0,0.98,0,10.8,0,0,1.96,829.5,0,3.93,0,0,3.93,0,0,0,81.48,0.98,0,0.98
 84-94,0,0,0,0,4.25,1.06,0,132.75,0,0,15.93,1.06,0,0,0,0,0,0,0,0,3.19,0,0,1.06,384.46,1.06,3.19,1.06,0,1.06,0,0,0,37.17,0,0,0
 96-106,0,0,1.09,0,2.19,0,0,51.36,2.19,0,9.84,3.28,0,0,0,0,1.09,1.09,2.19,1.09,5.46,0,0,0,310.37,0,4.37,10.93,0,4.37,0,0,0,19.67,0,1.09,0
108-118,0,0,0,0,0.77,0,0.77,60.51,0,0,12.26,0.77,0,0,0,0,0.77,0,1.53,0,7.66,0,0,0.77,402.13,0,3.83,1.53,0,2.3,0,0,0,14.55,0,0,0
120,0,0,0,0,1.96,3.92,0,99.95,0,1.96,5.88,0,0,0,5.88,1.96,0,0,0,0,5.88,0,1.96,1.96,415.47,0,0,1.96,0,1.96,0,1.96,0,11.76,0,0,0
