stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,5.26,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,55.2,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,12.59,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,84,2,0,0,8,0,0,1,0,0,0,0,1,0,0,3,54,7,0,0,0,0,0,2,33,0,0,60,0,0
 24-34,0,0,0,0,2.46,13.95,13.95,0,0,4.93,0,0,9.03,0,0,0,0,25.45,0,0,7.39,142.01,0.82,0.82,0,1.64,0,0,0,139.55,0,0,179.77,0,0
 36-46,0,0,0,0,1.61,1.61,62.04,0,0.81,4.83,0,0,12.89,0,0.81,0,0,66.87,0,0.81,4.83,50.76,0.81,0.81,0,0.81,0,0.81,0,56.4,0,0.81,102.32,0,0
 48-58,0,0,0,0,0.57,0,126.81,0,0.57,0.57,0,13.2,18.36,0,0,0.57,0,110.74,0,1.72,10.9,29.26,0,0.57,0,0.57,0.57,0,0,18.94,0,2.3,87.79,0,0.57
 60-70,0,0,0,0,0.98,0,407.33,0,1.96,3.93,0,12.76,14.72,0,0.98,0,0,156.06,0,5.89,5.89,28.46,1.96,2.94,0,8.83,0,0,0,8.83,0,13.74,70.67,0.98,0
 72-82,0,0,0,0,4.91,0.98,573.29,0,1.96,7.85,0,2.94,24.54,0.98,0,0,0,170.81,0,19.63,4.91,40.25,0.98,1.96,0,11.78,0,0,0,1.96,0,19.63,191.42,0.98,0.98
 84-94,0,0,1.06,0,10.62,0,567.13,0,1.06,12.74,1.06,7.43,20.18,0,2.12,0,1.06,91.34,0,20.18,7.43,30.8,0,0,0,7.43,2.12,0,0,2.12,0,15.93,155.06,3.19,0
 96-106,0,0,0,0,19.67,2.19,336.6,2.19,5.46,5.46,2.19,1.09,27.32,1.09,2.19,0,0,95.08,1.09,15.3,5.46,40.44,1.09,0,0,16.39,1.09,2.19,0,4.37,0,13.11,198.9,5.46,0
108-118,0,0,0,0,16.85,1.53,245.11,0,0,4.6,0.77,0,13.02,0.77,1.53,0,0.77,93.45,0,9.96,4.6,21.45,0.77,0,0,14.55,0,1.53,0,2.3,3.83,7.66,140.17,1.53,0
120,0,0,0,0,7.84,1.96,197.94,0,0,5.88,0,0,21.56,0,0,0,1.96,50.95,0,9.8,3.92,23.52,0,0,0,15.68,1.96,0,0,3.92,0,0,133.27,1.96,0
