stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,26,0,0,0,0,0,1,0,3,6,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,3.28,0,0,2.46,0.82,0.82,0,0.82,0,0,0,0,9.85,0,3.28,98.5,4.93,0,0,0,0.82,0,0,0,28.73,0,0,4.93,0,0.82
 36-46,0,0,0,1.61,0,6.45,0,0,8.06,0,1.61,0,0,0,0,0,0.81,8.06,0,1.61,181.28,2.42,0.81,0,0,0.81,0,0.81,0,33.03,0,0,0,0,0
 48-58,0,0,0,0.57,0,22.38,0,0,24.1,0,0,0,0.57,0,0,0,1.15,9.75,0,2.87,248.46,2.3,0,0,0,0.57,0,0,0,45.33,0,0,1.72,0,1.72
 60-70,0,0.98,0,0.98,0,47.11,0,0.98,22.58,0,0,0,0,0,0,0,0,11.78,0.98,0.98,454.44,0,0,0,0,0.98,0,0,0,36.32,0,0,0.98,0,2.94
 72-82,0,0.98,0,1.96,0,50.06,0,0.98,15.71,0,0.98,0.98,0,0,0,0,0.98,21.6,1.96,2.94,467.27,0,0,0,0,1.96,0,0.98,0,28.47,0,0.98,0,0,0.98
 84-94,0,0,0,1.06,0,33.99,1.06,1.06,14.87,0,0,0,1.06,2.12,0,0,4.25,15.93,0,0,220.9,4.25,0,0,0,2.12,0,0,0,13.81,1.06,1.06,0,0,2.12
 96-106,0,2.19,0,4.37,0,29.51,0,0,6.56,1.09,0,0,0,2.19,0,1.09,0,8.74,2.19,0,193.43,1.09,0,0,0,5.46,0,0,0,3.28,0,1.09,4.37,3.28,3.28
108-118,0,0.77,0,0.77,0.77,20.68,0.77,0,5.36,0.77,0,0.77,1.53,1.53,0.77,0,0.77,9.96,1.53,0,252,3.06,0,0,1.53,0,0,0,0,3.83,0,0.77,2.3,1.53,1.53
120,0,0,0,9.8,0,25.48,0,1.96,7.84,0,0,0,0,0,0,0,0,5.88,0,0,246.93,3.92,0,0,0,1.96,0,0,0,7.84,0,0,0,0,0
