stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,3,0,1,0,0,0,10,3,0,0,0,0,0,0,0,3,0,0,3,93,1,0,0,0,0,0,0,0,123,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,3.28,0,0,0,6.57,0,0,0.82,0,0,0,0,0,6.57,0,0,1.64,553.26,1.64,10.67,0,0,0,0,0.82,0,241.33,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,41.89,0,0,0,5.64,0,0.81,0,0,0,0.81,0,0,26.59,0,0,2.42,1941.66,0.81,19.34,0.81,0,0,1.61,1.61,0,470.51,0,0,0.81,0,0.81
 48-58,0,0,0,1.72,0,0,205.42,0.57,0.57,0.57,25.25,0,0,0.57,0,0,1.15,0,0.57,53.36,0,1.15,2.3,2447.85,0.57,15.49,0,0,0,3.44,0,0.57,505.52,0,0,1.15,0,1.72
 60-70,0,1.96,0,5.89,0.98,0,413.22,0.98,0,3.93,10.8,0.98,0.98,0,0.98,0,0,0,0.98,77.54,0,3.93,1.96,2967.14,0,20.61,0,0,0,0,0.98,0,537.87,0,2.94,1.96,0,1.96
 72-82,0,0,0,10.8,1.96,0,440.77,0.98,0,2.94,38.28,1.96,0.98,0,0.98,0.98,0.98,0.98,0.98,106.02,0,1.96,4.91,2126.28,0,40.25,2.94,0,0.98,2.94,0,0.98,281.74,0.98,0,1.96,0.98,2.94
 84-94,0,2.12,0,14.87,2.12,0,328.17,0,1.06,0,32.92,2.12,1.06,2.12,0,1.06,0,0,0,67.97,0,1.06,3.19,1080.09,0,39.3,2.12,0,0,4.25,0,0,158.24,1.06,4.25,6.37,1.06,0
 96-106,0,1.09,0,8.74,1.09,0,216.38,0,0,0,39.34,2.19,0,2.19,1.09,1.09,3.28,1.09,0,53.55,1.09,2.19,3.28,786.85,1.09,49.18,5.46,0,0,4.37,1.09,0,65.57,3.28,4.37,2.19,3.28,4.37
108-118,0,0,0,12.26,0.77,0.77,154.72,0,0,2.3,28.34,3.06,0,0,0.77,0,0.77,0,0,52.85,0,0.77,0.77,886.99,0,37.53,0.77,0,0.77,3.83,0,0,37.53,0.77,0,0.77,0,0
120,0,0,0,1.96,1.96,0,148.94,0,1.96,1.96,39.2,0,0,0,0,0,0,1.96,0,31.36,0,0,1.96,921.1,0,35.28,0,0,0,1.96,1.96,0,60.75,0,3.92,1.96,0,0
