stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.35,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.7,3.15,0,0,22.03,0,0,0,0,0,3.15,3.15,0,0,0
 14-21,1,0,0,3,15,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,4,49,2,0,0,1,0,0,9,0,1,23,22,0,1,0
 24-34,0,0,0,4.1,7.39,0,0,4.93,0,0,2.46,1.64,5.75,0,0.82,0,0,1.64,1.64,0,7.39,0,0,3.28,109.17,0,3.28,0.82,0,1.64,0,0,0.82,0,2.46,26.27,0,2.46,0.82
 36-46,0,0,0,0,0,0,0,16.11,0.81,0,0.81,4.83,1.61,0.81,0,0,0,0,3.22,2.42,10.47,0,0.81,2.42,148.24,0,5.64,0.81,0,0,0,0,0.81,0,0,20.95,0,1.61,1.61
 48-58,0,0,0,0,2.3,0,0,23.53,0.57,0,0,5.74,0.57,0,0.57,0,0,1.15,0.57,1.15,12.05,0,0.57,2.3,142.3,0,4.02,1.15,0,0,0,0,0,0,0,18.36,0,0,0
 60-70,0,0,0,0,0.98,0,0,64.78,0,0,0,10.8,0.98,0,0,0,0,1.96,3.93,0.98,10.8,0.98,0,0.98,212.99,0,4.91,0,0,1.96,0,0,0,0,0,27.48,0,0,1.96
 72-82,0,0,2.94,0,1.96,0.98,0,92.28,0,0,1.96,31.41,1.96,0,0,0,0,2.94,0.98,0.98,32.39,0.98,0,5.89,266.03,0,9.82,3.93,0,0.98,0,0,0,0,0,39.27,0.98,0,2.94
 84-94,0,0,2.12,0,3.19,2.12,0,62.66,0,1.06,0,19.12,1.06,0,0,0,1.06,0,1.06,6.37,16.99,0,2.12,5.31,107.27,0,1.06,1.06,0,1.06,0,0,0,0,0,10.62,0,1.06,2.12
 96-106,0,0,1.09,0,1.09,0,0,56.83,0,0,2.19,20.76,1.09,0,1.09,0,0,2.19,2.19,1.09,15.3,0,0,1.09,93.98,0,13.11,1.09,0,1.09,0,0,0,0,0,7.65,0,1.09,2.19
108-118,0,0,2.3,1.53,1.53,0,1.53,56.68,2.3,0,1.53,22.21,3.06,0,0,1.53,2.3,0,0.77,3.83,22.21,0,0,1.53,129.45,0.77,4.6,3.06,0,6.13,0.77,0,0.77,0,0,6.89,0,0,1.53
120,0,0,0,0,1.96,0,0,52.91,0,0,0,15.68,3.92,0,0,1.96,1.96,0,0,1.96,15.68,0,0,11.76,150.9,5.88,3.92,0,0,3.92,0,0,0,0,0,0,0,0,3.92
