stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0
 24-34,0,1.64,0,0.82,1.64,0,0.82,0,0,0.82,6.57,0,0,0,14.78,2.46,0.82,0,0,0,4.93,4.1,0,0
 36-46,0,0.81,0,0.81,1.61,0,0.81,0,0,0,2.42,0,3.22,0.81,12.09,0.81,1.61,0,0,0,1.61,1.61,0,0
 48-58,0,1.15,0,0.57,1.72,0,0.57,0.57,0,0,0.57,0,4.59,0,9.75,0.57,1.15,0,0,0,0.57,2.3,0,0
 60-70,0,0.98,0,1.96,0,0,0,0,0,2.94,1.96,0,3.93,0,8.83,0,0.98,0,0,0.98,1.96,1.96,0,0
 72-82,0,0.98,0,3.93,0,0.98,0.98,0,0,4.91,0,0.98,7.85,0.98,5.89,0,1.96,0,0.98,0,0,0,0.98,0.98
 84-94,0,3.19,0,2.12,0,0,1.06,0,1.06,9.56,2.12,1.06,6.37,0,5.31,0,1.06,0,0,0,1.06,0,0,0
 96-106,0,0,1.09,0,0,0,0,0,1.09,13.11,0,0,5.46,0,3.28,2.19,2.19,0,0,1.09,0,0,1.09,0
108-118,0,1.53,0,1.53,0,0.77,0.77,0,0,6.89,3.06,0.77,0.77,0,3.83,2.3,2.3,0,0,0,0,0.77,3.06,0.77
120,0,3.92,0,0,0,0,1.96,1.96,0,3.92,5.88,0,0,0,3.92,0,5.88,0,0,0,0,0,0,0
