stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,65.89,553.47,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0
  5-6,24.52,67.43,0,0,0,0,0,0,0,0,12.26,0,12.26,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,2.63,0,0,26.29,0,15.77,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,9.44,3.15,18.88,0,3.15,0,0,0
 14-21,0,0,2,0,0,3,1,0,0,1,7,0,0,0,2,1,1,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,1.64,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0.81
 60-70,0,0,0,0,0.98,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,1.09,0,1.09,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
