stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,6,0,0,22,0,0
 24-34,0,0,0,0.82,3.28,2.46,0,0,0,0,0.82,0,0,0,0,0,0,13.13,0,0,1.64,135.44,0,0.82,0,0,0,0,0,0.82,0,47.61,0,0,86.19,0,0
 36-46,0,0,0,0.81,0.81,9.67,0,0,3.22,0,0,0,0,0,0,0,0,18.53,0,0,0,311.79,0,1.61,0.81,0,0,0.81,0.81,0,0.81,89.43,0,0.81,55.59,0,0
 48-58,0,0,0,2.3,1.15,45.9,0,0,13.77,0,2.3,0,0,0,0,0.57,0,29.84,0,0,2.3,472.24,0,1.15,1.72,0,0,2.3,0,0,0,86.64,0,0,40.17,0,0.57
 60-70,0,0,0,0.98,0,114.84,0,1.96,23.56,0,0.98,0,0,0,0,0,0.98,64.78,0,0,5.89,755.77,0,0.98,3.93,0,0,2.94,0,0,0,120.73,0,0.98,32.39,0.98,0.98
 72-82,0,0,0,4.91,2.94,170.81,0,1.96,45.16,0.98,0,0.98,0,0.98,0,0,0,147.25,0,1.96,8.83,743.12,0.98,0.98,4.91,0,1.96,0.98,0,0,0.98,78.53,1.96,0.98,70.68,0,0.98
 84-94,0,0,0,2.12,0,117.89,1.06,3.19,23.36,0,0,0,0,0,0,2.12,0,83.9,0,1.06,1.06,367.46,1.06,3.19,1.06,0,0,3.19,0,0,0,32.92,0,0,67.97,0,0
 96-106,0,0,0,3.28,3.28,84.15,2.19,1.09,17.49,0,0,0,1.09,1.09,0,0,0,100.54,0,1.09,2.19,327.85,0,1.09,0,0,1.09,8.74,0,0,0,25.14,1.09,1.09,46.99,1.09,0
108-118,0,0,0,2.3,0,69.7,0,2.3,28.34,0,0,0,0,0.77,0.77,0,0,101.87,0.77,0,5.36,362.3,0,3.06,0.77,0,0.77,2.3,0,1.53,0,9.96,0.77,0,60.51,0,1.53
120,0,0,0,3.92,1.96,94.07,1.96,7.84,23.52,0,1.96,0,0,0,1.96,0,0,101.91,1.96,0,1.96,560.5,1.96,3.92,0,0,1.96,1.96,0,0,0,35.28,1.96,0,52.91,1.96,0
