stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,8,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,3,0,0,1,22,0,0,0,0,0,0,0,0,2,10,17,0,0,0,0,0
 24-34,0,0,0.82,0,0,2.46,0,0,0,0,0.82,0,0,0,0,0,5.75,0.82,4.1,0.82,0,3.28,48.43,6.57,1.64,0.82,0,0,0,0,0,2.46,0,32.83,0,0,0.82,0,0.82
 36-46,0,0,0.81,0,0,4.83,0,0,1.61,0.81,0.81,0,0,0,0,0,1.61,0,8.86,0,0.81,4.03,89.43,9.67,0,0,0,0,0,0,0,0.81,0,44.31,0,0,0,0,0
 48-58,0,0,0,0,0,22.95,0,0,0.57,2.87,0.57,0,0.57,0,0.57,0,1.15,0,5.16,0.57,0,2.87,111.89,8.61,0,0,0,0,0,0,0,0,0,26.97,0,0,0,0,0
 60-70,0,0,0,0,0,53,0,0,0,4.91,0,0,0,0,0,0,2.94,0.98,4.91,0,0,3.93,128.58,4.91,0,0,0,0,0,0,0,0.98,0,26.5,0,0,0,0,0
 72-82,0.98,0,2.94,0.98,0,183.57,0,0,0.98,12.76,0.98,0,0.98,0,0,0,49.08,0,12.76,0.98,0,3.93,218.91,1.96,0,2.94,0,0,0,0,0,0,0,22.58,0,0,0,0,0
 84-94,0,0,3.19,1.06,0,104.08,2.12,0,0,9.56,1.06,0,0,1.06,0,0,193.29,0,10.62,0,0,3.19,91.34,6.37,0,0,0,0,1.06,0,0,0,0,6.37,1.06,0,2.12,1.06,0
 96-106,1.09,0,2.19,2.19,0,102.73,0,2.19,0,10.93,4.37,0,0,1.09,0,1.09,449.16,0,14.21,1.09,0,6.56,111.47,3.28,0,7.65,0,1.09,0,0,0,0,0,2.19,0,0,0,1.09,1.09
108-118,0,0,3.06,2.3,0.77,114.89,3.83,0,2.3,15.32,4.6,0,0,1.53,0.77,0,780.52,0.77,20.68,0,2.3,3.06,148.6,8.43,0.77,2.3,0,0,3.06,0.77,0.77,0.77,0,6.89,0,0,0.77,0,0.77
120,0,0,3.92,3.92,1.96,94.07,0,1.96,0,13.72,3.92,0,0,0,0,0,386.08,0,17.64,0,0,0,150.9,7.84,0,1.96,0,0,5.88,0,0,0,0,1.96,0,1.96,0,0,1.96
