stage,epidermis,eye,glial,heart,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,visceral.smooth.muscle
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0
 14-21,3,0,0,0,2,0,7,0,0,1,0,1,0,9,0
 24-34,0,2.46,0.82,0.82,0,0,27.09,0,0,0,1.64,0,0,4.93,0
 36-46,0,5.64,0.81,0,0,0.81,29.81,0,0,0,0,0,0.81,14.5,0
 48-58,0,13.2,0,0,0.57,0,26.4,0,0.57,0,0,0,0,5.16,0
 60-70,0,50.06,0.98,0,0,0,40.24,0.98,0,0,0,0,0,6.87,0
 72-82,0,28.47,0,0,3.93,0,37.3,0,0,0,0,0,0,2.94,0.98
 84-94,0,16.99,2.12,0,0,1.06,12.74,0,0,0,0,0,0,2.12,0
 96-106,0,7.65,0,0,0,0,9.84,0,0,0,0,0,0,0,0
108-118,0.77,9.96,0.77,0,0,0,13.02,0,0,0,0,0,0,0.77,0
120,1.96,5.88,0,0,0,0,11.76,0,0,0,0,0,0,0,0
