stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,33,1,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,3,0,1,47,0,0,0,1,0,0
 24-34,0,3.28,0.82,0,100.97,0,0,0,0,0,0,1.64,0,5.75,0,0,0,0,0,0,0,0.82,11.49,0,0,0,0,0,0.82,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,4.03,0,0,910.41,0,0,0,1.61,0,0,0,2.42,2.42,0,0.81,0.81,0,5.64,0,0,1.61,35.45,0.81,1.61,0,0,0,0.81,0,0,0,0,9.67,0,0,2.42,0,0
 48-58,0,6.89,0,0,1511.4,0,2.87,0,13.77,0,0,0,2.3,2.87,2.3,1.72,1.15,0.57,13.2,1.15,1.15,5.74,121.65,0,1.15,1.15,0,0.57,0.57,0,0,1.15,0,16.64,0,0,5.16,0,2.3
 60-70,0,21.59,0,0,1471.3,0.98,1.96,0,2.94,0,0.98,0,8.83,3.93,1.96,0,0.98,0,11.78,1.96,0.98,0.98,47.11,0,0.98,0,0,0,1.96,0,0.98,0,0,7.85,0.98,0.98,2.94,0,1.96
 72-82,0,21.6,0,0,732.32,0,0,0.98,8.83,0.98,0,0.98,12.76,8.83,0,0,0,0,6.87,0.98,0,0.98,35.34,0,0.98,0.98,0,0,1.96,0,0.98,0,0,2.94,0.98,0,9.82,0.98,0.98
 84-94,0,38.23,1.06,1.06,630.85,1.06,4.25,1.06,13.81,1.06,0,0,10.62,23.36,2.12,3.19,0,0,15.93,0,2.12,3.19,38.23,0,1.06,1.06,0,0,3.19,0,0,0,0,3.19,2.12,0,6.37,1.06,0
 96-106,0,48.09,0,2.19,327.85,1.09,0,0,3.28,3.28,0,0,16.39,18.58,0,2.19,2.19,0,10.93,0,0,1.09,29.51,0,2.19,0,0,0,12.02,0,0,0,0,0,6.56,1.09,5.46,0,0
108-118,0,58.21,1.53,3.83,278.04,0,4.6,0,2.3,13.79,0,0,28.34,17.62,0.77,0,1.53,0,4.6,0.77,0.77,0.77,42.13,0.77,1.53,0,0,0,13.02,0,0.77,0,0,0,29.11,0,7.66,0,0
120,0,37.24,0,3.92,262.61,0,0,1.96,1.96,9.8,0,0,9.8,9.8,0,0,0,0,3.92,0,0,1.96,31.36,1.96,3.92,0,0,0,7.84,0,0,0,0,0,9.8,1.96,1.96,0,0
