stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,22.03,0,6.29,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.55,9.44,0,0,84.97,0,0,3.15,31.47,0,0,0,0,0,0,0
 14-21,0,0,1,13,5,0,3,0,0,0,5,3,0,2,0,0,0,0,1,0,31,0,0,11,59,2,0,0,0,0,0,12,1,8,18,0,0,3,0,0
 24-34,0,0,0,3.28,0.82,0,10.67,0,0.82,0.82,4.1,3.28,0,1.64,0,0.82,0,0,0.82,0,59.92,0,0,20.52,86.19,4.93,0.82,2.46,0,0.82,0,0,0.82,0.82,27.91,0,0,13.95,0,0
 36-46,0,0,0,3.22,0,0,5.64,0,0,0,1.61,0,0,0.81,0,0,0,0,0.81,0.81,44.31,0,4.83,1.61,46.73,0.81,0.81,0.81,0,0,1.61,0,0,0,26.59,0,0,9.67,0,0
 48-58,0,0,0,1.15,0,0,7.46,0,0,2.3,8.61,0.57,0,0,0,0,0,0,0.57,0,22.38,0.57,4.02,4.02,22.38,1.15,0,1.15,0,0.57,0,0,0,0,16.07,0,0,8.03,0,0
 60-70,0,0.98,0,1.96,0,0,12.76,0,0.98,0.98,14.72,0.98,0.98,1.96,0,0,0,0.98,1.96,0,30.43,0,0.98,1.96,37.3,0,0,2.94,0,0.98,0.98,0,0,0,7.85,0,0,8.83,0,0
 72-82,0,0.98,0,0.98,0,0,13.74,0.98,0,0,15.71,1.96,0,5.89,0,0,0,0,1.96,0,28.47,0,0,0.98,35.34,0,1.96,5.89,0,0.98,0,0,0,0,4.91,0,0,23.56,2.94,0.98
 84-94,0,0,0,0,0,1.06,9.56,0,1.06,1.06,18.05,3.19,0,2.12,2.12,0,1.06,0,1.06,0,15.93,2.12,1.06,0,14.87,0,0,4.25,0,0,4.25,0,1.06,0,4.25,0,2.12,15.93,3.19,0
 96-106,0,0,0,0,0,0,7.65,0,0,0,7.65,2.19,0,1.09,0,0,0,0,1.09,0,17.49,1.09,0,1.09,17.49,0,2.19,3.28,0,0,3.28,0,0,0,3.28,0,2.19,18.58,4.37,0
108-118,0,0,0,2.3,0,0.77,4.6,0.77,0.77,0.77,10.72,3.06,0,0.77,0,0,0,0,1.53,0,13.02,0.77,0,4.6,26.04,0,0.77,4.6,0,0.77,1.53,0,0.77,0,1.53,0,0,16.85,2.3,0.77
120,0,0,0,0,1.96,0,11.76,0,0,0,5.88,5.88,0,1.96,0,1.96,1.96,0,1.96,0,7.84,0,0,1.96,3.92,1.96,0,3.92,0,1.96,5.88,0,0,0,3.92,1.96,0,17.64,3.92,0
