stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,26.29,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,47.2,3.15,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,3,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,17.24,1.64,17.24,0,0,1.64,0,0,3.28,0,0,0
 36-46,0,0,0,0,0,1.61,0.81,3.22,0,0,0.81,0,0.81,0,0,36.26,2.42,33.03,0,0,0.81,0,0,12.09,0,0,0
 48-58,0,0,0,0,0,4.02,0,4.59,0,0.57,0,0.57,2.3,0,0,36.72,1.72,22.95,0,0,1.15,0,0,15.49,0,0,0
 60-70,0,0,0,0,0,6.87,0,2.94,0,0.98,0,0,1.96,0,0,48.09,5.89,24.54,0,0,0,0,0,11.78,1.96,0,0
 72-82,0,0,0,0.98,0.98,13.74,0,2.94,0,20.61,0,0,5.89,0.98,0,38.28,0.98,61.84,0,1.96,2.94,0,0,1.96,0.98,0,1.96
 84-94,0,0,0,0,0,6.37,0,2.12,1.06,20.18,0,0,3.19,0,1.06,13.81,0,42.48,0,0,5.31,0,0,3.19,1.06,1.06,0
 96-106,0,0,0,0,1.09,6.56,0,2.19,0,29.51,0,0,2.19,1.09,0,16.39,0,80.87,0,0,4.37,0,0,3.28,2.19,1.09,1.09
108-118,0,0,0,0.77,0,5.36,0,2.3,0,26.81,0,0,3.06,0,0,19.92,0.77,52.09,0,2.3,3.06,0,0,0,3.06,1.53,0.77
120,0,0,0,0,0,1.96,0,1.96,0,27.44,0,0,7.84,1.96,0,9.8,1.96,23.52,0,0,1.96,0,0,1.96,0,1.96,0
