stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,5,0,0,0,0,0,0,0,0,0,3,0,0,1,32,0,0,1,0,1,0,1,4,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0.82,0,0,0,3.28,0,0,0,128.87,0,0,0.82,0,2.46,0,0.82,13.95,0,0,0,0,0
 36-46,0,0,0,0,2.42,0.81,0,0,16.11,0,0,0,8.86,0,0,1.61,345.63,0,0,0.81,0,6.45,0,0,66.06,0,0,0,0,0
 48-58,0,0,0,0.57,1.72,0,0.57,0,23.53,0,0,0,8.03,0,0,0,124.52,0,0.57,1.15,0,4.59,0,0,30.99,0,0,0.57,0,0.57
 60-70,0,0,0.98,0,9.82,0,0,0.98,20.61,0,0,0,16.69,0.98,0.98,2.94,99.13,0,0,1.96,0,2.94,0.98,0,19.63,0,0,0.98,0,0
 72-82,0,0,0,0.98,8.83,0,0,0,13.74,2.94,0,0.98,21.6,0,0.98,0,46.14,0,0,0,0,1.96,0.98,0,6.87,0,0.98,0.98,2.94,0
 84-94,0,0,0,0,8.5,0,0,0,13.81,0,1.06,0,14.87,0,1.06,0,39.3,0,0,0,0,10.62,0,0,5.31,1.06,1.06,2.12,0,0
 96-106,0,0,1.09,0,9.84,0,0,0,9.84,3.28,0,0,12.02,0,0,0,14.21,1.09,0,2.19,1.09,3.28,0,0,5.46,0,0,1.09,0,0
108-118,0,0,0,0,8.43,0,0,0,8.43,0,0,0,10.72,0,0,0.77,36,0,0.77,0.77,0,3.06,0,0,1.53,0,0,0.77,0.77,0
120,0,0,1.96,0,7.84,0,0,0,5.88,0,0,0,3.92,0,0,0,25.48,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0
