stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,6,0,0,0,0,0,1,0,0,0,0,15,0,0,0,2,0,1,2,0,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,0,0,0,0.82,0,0,0.82,24.63,0,0,0.82,0,0.82,0.82,2.46,0,0,0
 36-46,0,0.81,0.81,0,0,2.42,0.81,0,0,0,0,0,0,0,0.81,0,10.47,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,2.87,0.57,0,0,0.57,0,0,0.57,0,0.57,0,5.16,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0.98,0,0,2.94,0,0,0,0,0,0,0.98,0.98,1.96,0.98,1.96,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0.98,0.98,0,0,0,0,0.98,0,3.93,0,0,0.98,0,0,0,1.96,0,0,0
 84-94,0,0,0,2.12,1.06,2.12,0,0,0,0,1.06,0,2.12,0,2.12,0,0,0,0,1.06,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,0,4.37,0,1.09,0,1.09,0,0,0,0,3.28,1.09,4.37,1.09,0,0,0,0,0,1.09,0,1.09,0
108-118,0,0,0,0.77,0.77,0.77,0,0,1.53,2.3,0,0,0,0,0.77,1.53,1.53,0,0,0,0,0,0,0,0.77,0,0
120,0,0,3.92,1.96,0,3.92,0,0,0,0,0,0,1.96,0,1.96,0,5.88,0,0,0,0,0,0,0,0,0,0
