stage,blastomeres,epidermis,eye,glial,gut,heart,immune,iridophores,mesenchyme,neural,notochord,periderm,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,1,3
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,3.28,2.46
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0.81
 48-58,0,0.57,0,0,0.57,0,1.15,0,0.57,1.15,0,0.57,1.72
 60-70,0,0,0.98,0.98,0,0,0,0.98,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98
 84-94,0,0,1.06,0,0,0,6.37,1.06,0,0,0,0,2.12
 96-106,0,0,0,0,0,1.09,7.65,0,0,0,0,0,3.28
108-118,0,0,0.77,0,0.77,0,4.6,0,0,0.77,0,0,1.53
120,0,0,0,0,0,0,11.76,0,0,0,1.96,0,1.96
