stage,axial,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,18.4,2.63,7.89,0,0,0
 10-12,0,0,3.15,0,0,0,0,9.44,0,3.15,0,3.15,0
 24-34,0,0,0,0,0,0.82,0,4.93,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,0,1.72,0.57,1.72,3.44,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,1.09,0,0,0,0,0,0
