stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,2,0,225,16,1,0,0,0,0,0
 24-34,0,0,4.1,0,0,3.28,125.59,0.82,0.82,1.64,0,0,1.64,0.82,0,0.82,0.82,0.82,17.24,0,0,16.42,79.62,0.82,0.82,0,0,4.93,0,0,0.82,251.18,30.37,15.6,0,0,0.82,0,1.64
 36-46,0,0,0.81,0,0,7.25,170.8,0,1.61,3.22,0,0,4.83,0,0,0,0,0,7.25,0,0,4.83,56.4,0,0,0,0,4.03,0,0,0,197.39,4.03,16.92,0,0,0,0,0.81
 48-58,0,0,1.15,0,0,18.94,83.78,0.57,4.02,4.02,0,0,2.3,0,0,0.57,0,0,7.46,0,0.57,6.31,37.87,0,0,0,0,0,0,0,0,151.48,0,5.74,0,0,1.15,0,2.87
 60-70,0,0,0,0,0,4.91,39.26,0,3.93,2.94,0,0,0.98,0,0,0,0,0,2.94,0,0,2.94,11.78,0,0,0,0.98,0,0,0,0,70.67,0,3.93,0,0,0,0,0
 72-82,0,0,0,2.94,0,5.89,57.92,0,3.93,4.91,0,0,0.98,0,0,0,0,0.98,8.83,0,0,1.96,23.56,0,0,0,0,0,0,0,0,35.34,0,0,0,0,0.98,0.98,0
 84-94,0,0,2.12,1.06,0,5.31,79.65,0,3.19,3.19,0,0,1.06,0,0,0,0,0,5.31,1.06,0,8.5,8.5,0,0,1.06,0,3.19,0,0,0,77.53,0,0,0,1.06,1.06,0,0
 96-106,0,0,3.28,3.28,2.19,14.21,109.28,2.19,4.37,3.28,3.28,0,8.74,0,0,0,3.28,0,8.74,0,3.28,12.02,14.21,0,0,1.09,0,7.65,1.09,0,0,77.59,0,0,1.09,0,2.19,0,1.09
108-118,0,0,2.3,0.77,3.83,12.26,102.64,0,1.53,3.06,1.53,0,3.83,1.53,0,0,0,0,4.6,0,0,6.89,14.55,0,0,0,0,0.77,0,0,0,67.4,0,2.3,0,0,0.77,0,1.53
120,0,1.96,0,0,1.96,3.92,66.63,0,0,0,0,0,1.96,0,1.96,0,0,0,3.92,0,0,3.92,9.8,0,0,0,0,1.96,0,0,0,19.6,0,0,0,0,0,0,1.96
