stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,6.13,0,0,0,0,0,24.52,0,0,0,0,0,0
  7-9,5.26,0,5.26,0,0,0,0,0,0,0,0,0,13.14,5.26,0,26.29,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,3.15,0,9.44,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,2,1
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,0,0,1.64,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,4.83,0,0,0,0.81,0,2.42
 48-58,0,0,0,0,0.57,0.57,0,0,0.57,0,0,0.57,1.15,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,1.96,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0.98,0,0,0,0,2.94,0,0.98,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0
