stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,6.29,0,0,0,31.47,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,103.85,6.29,0,0,44.06,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,7,0,5,0,0,0,1,1,0,1,0,0,0,0,0,0,3,0,4,54,0,0,0,1,0,0,0,5,0,2,12,14,0,0,1,0,0
 24-34,0,0.82,0,6.57,3.28,0,13.95,1.64,1.64,2.46,3.28,0,0,0.82,2.46,0,0.82,0.82,0,0,44.33,0,19.7,252,4.1,0,1.64,0,0,0.82,0,0,0,4.1,9.03,58.28,0,0,6.57,0,2.46
 36-46,0,0,0,5.64,0,0,24.98,1.61,0,0.81,12.09,0,0,0.81,0,0,0,0,0,1.61,39.48,3.22,4.83,253.79,0.81,1.61,0,0.81,0,0.81,0,0,0,0.81,0,61.23,0,0,3.22,0,0
 48-58,0,0,0,4.02,0,0,50.49,0.57,0.57,1.72,12.05,0,0,0.57,1.15,0,1.15,0,0,1.72,65.41,1.15,5.16,199.11,0.57,0.57,0.57,0,0,0,0,0,0,0,0,49.92,0,0,10.9,0,0.57
 60-70,0,0,0,2.94,0,0,32.39,0,0,3.93,18.65,0.98,0,0.98,1.96,0,0,0,0,1.96,64.78,0.98,2.94,147.23,0,0.98,1.96,0,0.98,0,0,0,0,0,0,27.48,0,1.96,5.89,0,1.96
 72-82,0,0,0,10.8,0,0,58.9,0.98,2.94,3.93,49.08,0.98,0,5.89,4.91,0.98,0.98,0,0,1.96,150.19,5.89,10.8,213.02,0,1.96,0.98,0,0,0.98,0,0,0,0,0,27.49,0,4.91,20.61,1.96,1.96
 84-94,0,0,0,10.62,0,0,39.3,1.06,4.25,2.12,36.11,0,0,1.06,18.05,0,0,0,0,2.12,73.28,3.19,7.43,83.9,1.06,0,5.31,0,0,1.06,0,0,0,0,0,16.99,0,4.25,10.62,3.19,0
 96-106,0,1.09,0,7.65,1.09,1.09,27.32,1.09,5.46,4.37,31.69,4.37,0,1.09,12.02,0,1.09,4.37,0,0,108.19,5.46,5.46,81.96,0,2.19,4.37,0,1.09,3.28,1.09,0,0,1.09,0,6.56,0,3.28,21.86,5.46,2.19
108-118,0,0,0,9.19,0,0,19.92,0,6.13,3.83,29.11,1.53,0,0.77,9.19,0.77,0,1.53,0.77,2.3,81.96,1.53,6.89,81.19,0.77,1.53,0.77,0,0.77,0.77,0,0,0.77,0,0,5.36,0.77,1.53,22.21,1.53,1.53
120,0,0,0,21.56,0,0,21.56,0,7.84,5.88,31.36,5.88,0,1.96,5.88,0,0,0,0,1.96,88.19,3.92,9.8,82.31,1.96,0,0,0,0,0,0,0,0,0,0,7.84,0,0,23.52,1.96,1.96
