stage,blastomeres,epidermis,eye,fast.muscle,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,7.89,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,6.29,6.29,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,2,0,0
 24-34,0,0.82,0,0,0,0,0,0,0.82,0,0.82,0.82,0,13.13,0,0,13.95,0.82,0,1.64,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,6.45,0,0,4.03,0,0,3.22,0,0
 48-58,0,0,0,0,0.57,0,0,0,0.57,0,0,0.57,0,4.02,0,0,4.02,0,0,0.57,0,0
 60-70,0,0.98,1.96,0.98,1.96,0,0,0,0,1.96,0,1.96,0,5.89,0.98,0,26.5,0,0,3.93,0,0.98
 72-82,0,1.96,7.85,0,7.85,0,0,0.98,0,0.98,0,4.91,0,6.87,0,0,9.82,0,0,0,0,0
 84-94,0,0,2.12,0,6.37,0,0,0,1.06,0,0,3.19,0,1.06,0,0,10.62,0,0,0,0,0
 96-106,0,1.09,9.84,0,8.74,0,0,0,0,0,0,4.37,1.09,2.19,0,0,14.21,0,0,4.37,0,0
108-118,0,0,3.83,0,8.43,0.77,0,0.77,0.77,0.77,0,3.83,0,3.06,0,0,13.79,0,1.53,0,0.77,0
120,0,0,1.96,0,0,1.96,0,1.96,0,0,1.96,1.96,0,5.88,0,0,27.44,0,1.96,0,1.96,0
