stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.43,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,15.77,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,0,0,3.15,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,113,0,0,0,0,0,5,0,1,0,0,0,0,6,1,0,0,3,1,2,1,0,33,0,0,1,0,0,0,0,0
 24-34,0,0,0,4.1,38.58,0,0,2.46,0.82,0,0.82,0,0,0,0.82,0.82,0,1.64,0.82,0,1.64,11.49,1.64,1.64,0,0,64.85,0.82,2.46,0.82,0,0,0.82,0,0
 36-46,0,0,0,0,24.17,0,3.22,2.42,4.03,0,3.22,0,0,0,0.81,0,0,0,0,0,1.61,4.83,0.81,2.42,0,0,62.04,0.81,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,13.2,0,1.72,4.59,7.46,0,1.15,0,0,0,0.57,0,0.57,1.15,0.57,0,0.57,1.72,0.57,0.57,0,0,20.08,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,18.65,0,1.96,1.96,5.89,0,3.93,0.98,0,0,0,0,0,0.98,0,0.98,0.98,2.94,2.94,0,0,0,22.58,0.98,0,0,0,0.98,0,0,0
 72-82,0,0,1.96,0,18.65,0,2.94,2.94,12.76,0.98,6.87,0,0,0,0,0,0,1.96,0.98,0.98,0.98,3.93,0,0,0,0,22.58,0,0,0,0,4.91,0,0.98,0
 84-94,1.06,0,0,0,57.35,0,1.06,7.43,9.56,1.06,20.18,0,0,1.06,1.06,0,0,5.31,0,3.19,0,0,2.12,1.06,0,1.06,40.36,1.06,0,0,2.12,5.31,1.06,5.31,0
 96-106,0,0,0,0,48.09,1.09,2.19,3.28,4.37,2.19,15.3,0,0,0,1.09,2.19,0,6.56,0,2.19,0,13.11,9.84,0,0,1.09,38.25,1.09,0,0,0,4.37,1.09,5.46,1.09
108-118,0,0,0,0.77,44.43,0,1.53,13.79,8.43,1.53,19.15,0.77,0.77,0,0,3.83,0,3.06,0.77,0,2.3,6.13,2.3,0,0,0.77,28.34,0.77,0,0.77,0.77,1.53,0,3.06,0
120,0,0,0,1.96,60.75,0,0,1.96,1.96,0,11.76,0,1.96,0,1.96,5.88,0,0,0,1.96,1.96,9.8,0,0,0,0,17.64,1.96,0,0,1.96,0,0,0,0
