stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0,12.59,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0
 24-34,0,0,0,0,0,0,0,0.82,0,13.95,0,0,0.82,0,0.82,1.64,0
 36-46,0,0,5.64,0,0,0,0,0,0.81,30.62,0,0.81,0,0,2.42,10.47,0
 48-58,0,0,4.59,0,0,0.57,0,1.72,0,25.25,0,0,0,0,0.57,4.02,0
 60-70,0,0,12.76,0,0,0.98,0,2.94,0,52.02,0,0,0,0,0,1.96,0
 72-82,0,0,8.83,0,0,1.96,0,3.93,0,14.72,0,0,0.98,0,0,1.96,0.98
 84-94,0,1.06,7.43,1.06,1.06,0,0,0,0,4.25,1.06,0,0,0,0,1.06,0
 96-106,0,0,1.09,0,0,0,0,1.09,0,8.74,0,0,0,0,1.09,0,0
108-118,0,0.77,3.06,0,0,3.06,0.77,0.77,0.77,6.89,0,0,0,0,0,0,0
120,0,0,3.92,0,0,0,0,1.96,0,1.96,0,0,1.96,0,1.96,0,0
