stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,13,0,7,6,6,0,0,0,0,0,1,0,0,0,0,1
 24-34,0,1.64,2.46,0,0,32.01,0,0.82,0,0.82,11.49,0,0,0,0,48.43,21.34,1.64,7.39,18.06,0.82,0,0.82,0.82,0,0,0.82,1.64,0,0,0,0.82
 36-46,0,0,0.81,0,0,41.09,0,1.61,1.61,0,7.25,0,0,0,0,82.98,30.62,2.42,4.03,13.7,4.03,0,0,0,3.22,0,0,5.64,0,0,0,0
 48-58,0,0,0,0,0,39.59,0,1.15,2.3,0,5.74,0,0.57,0,0,68.86,35,1.15,2.87,13.2,0.57,0,0,0,1.15,0,0,3.44,0,0.57,0,0.57
 60-70,0,0,0.98,0,0,73.61,0.98,0,3.93,0,1.96,0,0.98,0,0,40.24,42.21,0.98,4.91,16.69,0,0,1.96,0.98,0.98,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,0,0,72.64,0,0,9.82,0.98,0,0,0.98,0,0,44.17,67.73,1.96,6.87,7.85,0,0,5.89,0.98,0,0,0,1.96,0,0,0,0
 84-94,0,0,1.06,0,0,123.2,0,2.12,5.31,0,2.12,1.06,1.06,0,1.06,77.53,48.85,2.12,3.19,9.56,0,1.06,13.81,0,1.06,0,0,2.12,1.06,1.06,0,0
 96-106,0,0,5.46,2.19,0,95.08,1.09,2.19,7.65,0,2.19,1.09,1.09,1.09,0,55.74,68.85,0,1.09,7.65,0,0,18.58,0,3.28,0,0,3.28,1.09,1.09,2.19,1.09
108-118,0,0.77,2.3,0,0.77,62.81,0,1.53,5.36,1.53,0,0,0.77,0,0,66.64,62.81,3.83,1.53,7.66,0,0,9.96,0,0,0,0,0,0,0.77,0.77,0.77
120,0,3.92,0,1.96,0,41.16,0,0,5.88,3.92,1.96,0,1.96,1.96,0,25.48,58.79,1.96,0,5.88,0,0,17.64,0,0,0,0,0,0,1.96,0,0
