stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,1.64,0,0.82,0,0,0,0.82,1.64,0
 36-46,0,0,0,0,3.22,0,0,0,0,0,0,0,0,10.47,0,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,3.44,0,0,0,0,0,0,0,0,21.8,0,0,0,0,0,0,0.57,0
 60-70,0,0.98,0,0,41.22,0,0,0,0,0,0,0,0,29.45,0,0,0,0,0,0,1.96,0
 72-82,0,0,0.98,0,135.47,0,0,0,0,0,2.94,0,0.98,59.88,0,0.98,0,0,0.98,0,1.96,0
 84-94,0,2.12,0,0,125.32,1.06,0,0,0,1.06,4.25,0,1.06,18.05,1.06,0,0,0,1.06,0,0,0
 96-106,0,0,2.19,1.09,130.05,0,1.09,0,0,0,1.09,0,2.19,20.76,0,0,0,1.09,2.19,0,0,0
108-118,0,0.77,1.53,0,110.3,0,0,0.77,0.77,0,0.77,0.77,0.77,27.57,0.77,0.77,0,0,0.77,0,0.77,0.77
120,0,0,0,0,164.62,0,0,0,0,1.96,0,0,0,47.03,0,0,0,0,1.96,0,0,0
