stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,0,0,0,0,1,1,0,0,0,2,0,0,1,0,2,0,0,3,43,0,0,0,0,1,3,1,0,1,17,0,0,0,0
 24-34,0,1.64,0,2.46,0,0,0.82,0,0,0,0,0,0,0,0,0,1.64,0,0,0.82,36.94,0,0.82,0,0,11.49,0,0,0,0.82,9.03,0,0,0,0
 36-46,0,0.81,0,7.25,0,2.42,1.61,0,0,0,0,0,0,0,0,0.81,12.09,0,0,0,58.81,0,0,0,0,5.64,0,0.81,0,0,16.11,0,0,0,0.81
 48-58,0,1.72,0,17.79,0,0.57,8.61,0,0.57,0,0,0,0,0,0,0,15.49,0,0.57,3.44,82.05,0,0,0.57,0,4.59,0,0,0.57,0,24.1,0,1.15,0,0
 60-70,0,0.98,0,13.74,0.98,0.98,7.85,0,0,0.98,1.96,0,0,1.96,0,0,19.63,0,0.98,3.93,64.78,0,0,1.96,0,3.93,0,0,0,0,5.89,0,0.98,0,0
 72-82,0,3.93,1.96,28.47,0,0.98,10.8,0,0.98,1.96,0.98,0,0.98,1.96,0,0,47.12,1.96,0.98,0.98,98.17,0,0.98,1.96,0,6.87,0,0,0,0,17.67,0,0.98,1.96,0
 84-94,0,3.19,2.12,7.43,0,1.06,3.19,0,0,0,1.06,0,0,0,0,0,10.62,0,1.06,6.37,20.18,0,0,0,0,9.56,0,0,0,0,1.06,1.06,0,0,0
 96-106,0,0,1.09,6.56,0,2.19,6.56,0,0,0,1.09,0,0,0,0,0,19.67,1.09,1.09,4.37,26.23,0,0,1.09,0,14.21,0,0,0,0,1.09,3.28,3.28,1.09,0
108-118,0,0.77,1.53,3.06,0,0,3.83,0,0,0,0,0,0.77,0,0.77,0.77,6.89,0,0,0,29.11,0,0,0,0,9.96,0,0.77,0,0,0.77,0,0.77,0,0
120,0,3.92,0,1.96,3.92,0,7.84,0,0,0,0,0,0,0,0,0,5.88,0,0,1.96,17.64,1.96,0,0,0,15.68,0,0,0,0,1.96,0,0,0,0
