stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,18,288,6,0,142,0,3,0,67,27,0,1,0,2,0,0,0,0,11,0,0,5,1557,22,0,5,23,0,2,0,3,1,0,4,583,0,0,3,0,0
 24-34,0.82,0.82,21.34,82.09,0,0,200.29,0.82,1.64,0.82,91.94,7.39,0,0,0,0.82,0,3.28,2.46,0,59.1,0,0,12.31,3499.31,4.1,3.28,40.22,0.82,0.82,9.03,0,0,0.82,1.64,3.28,707.58,0,0,21.34,0,0
 36-46,0,0,2.42,14.5,0,0,100.71,0.81,0,0,126.49,2.42,0,1.61,0,0.81,1.61,1.61,0.81,0,62.04,0,0.81,4.83,2163.22,0.81,1.61,18.53,0,1.61,4.03,0,0,0,0,0,499.51,0,0,13.7,0,1.61
 48-58,0,0,0.57,14.35,1.15,0,273.7,0,1.15,0.57,240.42,4.59,0,1.15,1.15,0,0.57,1.15,1.15,0.57,89.51,0,2.3,4.59,1572.23,0,2.87,24.67,0.57,1.15,2.3,0,0,0,0,0,435.52,0,0,13.77,0.57,1.72
 60-70,0,0,0,18.65,0,0,352.37,0,3.93,2.94,106.99,4.91,0,0,0,0.98,3.93,0,0.98,0,82.45,0,0,2.94,1117.95,0.98,2.94,22.58,0,0.98,1.96,0,0,0.98,0,0,113.86,1.96,0,7.85,0,0.98
 72-82,0,0.98,0.98,32.39,2.94,0,496.72,0.98,0.98,2.94,139.4,2.94,0.98,0,0,0.98,4.91,1.96,0,0,129.58,0,0.98,6.87,1297.76,0,5.89,41.23,0,0,4.91,0,0,0,0,0,79.51,5.89,0.98,14.72,3.93,1.96
 84-94,0,2.12,1.06,39.3,1.06,0,293.12,0,0,3.19,80.71,3.19,0,2.12,3.19,2.12,3.19,2.12,0,0,100.89,0,11.68,6.37,538.45,0,4.25,30.8,0,0,14.87,1.06,0,1.06,0,0,59.47,7.43,1.06,14.87,2.12,1.06
 96-106,0,2.19,1.09,39.34,4.37,0,250.26,0,3.28,2.19,66.66,2.19,0,2.19,4.37,4.37,4.37,2.19,1.09,0,81.96,1.09,2.19,1.09,537.68,1.09,1.09,36.06,0,0,12.02,0,0,0,0,0,25.14,2.19,3.28,10.93,1.09,0
108-118,0,0,6.13,27.57,0.77,0.77,195.32,0.77,2.3,2.3,55.15,5.36,0,0,1.53,2.3,4.6,2.3,0.77,0,74.3,0,0.77,9.96,486.39,0,3.83,29.11,0,0,0,0,0,0.77,0.77,0,11.49,9.19,1.53,6.89,0.77,0.77
120,0,0,1.96,41.16,1.96,0,243.01,1.96,1.96,5.88,84.27,11.76,0,0,1.96,0,3.92,1.96,0,0,88.19,0,1.96,9.8,711.4,1.96,5.88,39.2,0,0,7.84,0,0,0,0,0,23.52,0,0,5.88,1.96,0
