stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3,18,345,51,174,0,3,0,35,13,7,0,5,0,0,0,4,163,0,0,168,1428,203,6,22,22,0,2,1,131,11,49,354,536,0,0,11,0,0
 24-34,0,1.64,12.31,163.35,8.21,213.42,3.28,9.03,7.39,60.74,4.1,10.67,0,0.82,0.82,4.93,3.28,5.75,422.74,0,2.46,232.3,2647.26,59.1,22.16,29.55,0,1.64,6.57,0,1.64,11.49,22.98,103.43,790.48,0,0,42.68,0,3.28
 36-46,0,1.61,0,54.79,1.61,405.25,9.67,8.06,22.56,145.02,1.61,14.5,0.81,0,1.61,4.83,0,2.42,432.64,0.81,8.06,128.91,2665.15,40.28,33.03,21.75,0,2.42,9.67,0.81,0.81,4.83,12.09,5.64,799.22,0,0.81,29,0,0.81
 48-58,0.57,0,0,49.35,1.72,496.34,8.03,11.48,17.79,235.83,0,12.62,0.57,0,5.16,4.02,1.72,2.3,476.83,1.72,15.49,75.74,1753.55,14.92,21.8,19.51,0,0,4.02,0,0,1.15,8.03,0,619.71,0,1.72,13.2,0,1.72
 60-70,0.98,0,0,52.02,2.94,642.9,6.87,7.85,17.67,241.45,0.98,10.8,1.96,1.96,8.83,0,2.94,0.98,555.54,0.98,17.67,61.84,1592.03,15.7,27.48,26.5,0,6.87,5.89,0,0,1.96,4.91,0,351.38,0.98,10.8,17.67,3.93,1.96
 72-82,0,0,0,50.06,6.87,518.32,4.91,1.96,19.63,329.84,3.93,9.82,1.96,3.93,12.76,2.94,1.96,0,698.94,0,28.47,71.66,1396.9,13.74,41.23,36.32,0,6.87,0,0,0,1.96,0.98,0,197.31,1.96,12.76,31.41,17.67,4.91
 84-94,0,1.06,2.12,64.78,3.19,346.22,5.31,14.87,21.24,181.61,4.25,4.25,1.06,1.06,15.93,4.25,6.37,2.12,419.5,1.06,24.43,49.92,689.26,21.24,30.8,41.42,0,1.06,3.19,0,0,2.12,0,0,113.64,3.19,12.74,23.36,24.43,3.19
 96-106,0,0,0,75.41,6.56,286.33,5.46,7.65,8.74,209.83,5.46,10.93,0,2.19,18.58,3.28,3.28,1.09,367.2,2.19,26.23,36.06,680.84,12.02,44.81,42.62,1.09,8.74,5.46,0,0,2.19,0,0,60.11,3.28,8.74,18.58,16.39,4.37
108-118,0,0,0.77,87.32,2.3,240.51,1.53,21.45,13.02,180.77,0.77,10.72,1.53,2.3,27.57,1.53,5.36,0,317.87,3.83,16.09,28.34,667.15,10.72,36,48.26,0,8.43,4.6,0,0,3.83,2.3,0,36,2.3,10.72,16.85,9.96,3.06
120,0,1.96,1.96,123.47,3.92,299.85,7.84,37.24,19.6,256.73,3.92,9.8,3.92,1.96,13.72,0,5.88,3.92,348.84,0,21.56,64.67,975.97,31.36,27.44,45.08,0,3.92,9.8,1.96,0,3.92,1.96,0,62.71,3.92,9.8,7.84,13.72,1.96
