stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,56,0,3,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,2,12,1,0,1,0,0,1,1,0,2,2,0,0,0,0,0
 24-34,0,0,0.82,34.48,0,4.93,2.46,0,0.82,0,0,0.82,0,0,0.82,1.64,0,0,13.13,0,0,4.93,30.37,0,0,1.64,0,0,0.82,0,0,0.82,4.93,0,0,1.64,0,1.64
 36-46,0,0,0,15.31,0,4.83,0.81,0.81,2.42,1.61,0,0.81,0,0,0,1.61,0.81,0,14.5,0,0,4.03,16.11,0,1.61,0.81,0,0,6.45,0,0,0,1.61,0,0,1.61,0,1.61
 48-58,0,0,0,18.36,0,1.15,4.02,0.57,0,0,0,0,0,0,0.57,1.15,0.57,0,6.31,0,0,5.16,6.89,0.57,0,0,0,0,2.3,0,0,0,1.15,0,0.57,4.59,0,5.74
 60-70,0,0,0,22.58,0,3.93,2.94,1.96,3.93,0,0,0,0.98,0,0,0.98,0,0.98,6.87,0,0,3.93,8.83,0,0,0,0,0,2.94,0,0,0,0,0,0,0.98,0.98,6.87
 72-82,0,0,0,48.1,0,6.87,2.94,0,5.89,2.94,0,0.98,0,0.98,0.98,1.96,0,0,31.41,1.96,0.98,0,12.76,0.98,0.98,0.98,0,0,2.94,0,0,0,0,0,2.94,6.87,0.98,6.87
 84-94,0,0,1.06,118.95,0,8.5,22.3,0,2.12,3.19,0,0,4.25,4.25,2.12,2.12,0,1.06,21.24,1.06,2.12,3.19,5.31,0,3.19,1.06,0,1.06,6.37,0,1.06,0,0,3.19,1.06,6.37,0,1.06
 96-106,0,0,0,153,1.09,6.56,8.74,1.09,9.84,9.84,0,1.09,7.65,8.74,3.28,4.37,2.19,1.09,30.6,1.09,2.19,2.19,16.39,0,6.56,3.28,0,1.09,10.93,0,1.09,0,0,2.19,2.19,8.74,0,9.84
108-118,0,0,0.77,184.6,0.77,1.53,32.17,1.53,14.55,13.02,0,1.53,3.06,3.83,4.6,5.36,0.77,0.77,65.11,0.77,1.53,5.36,18.38,0.77,6.13,3.06,0,3.06,6.89,0,0.77,0,1.53,5.36,3.06,11.49,0,9.96
120,0,0,0,148.94,0,1.96,15.68,0,5.88,3.92,0,1.96,1.96,5.88,3.92,1.96,0,0,41.16,1.96,0,3.92,15.68,1.96,1.96,1.96,0,3.92,13.72,0,0,0,0,1.96,3.92,3.92,1.96,3.92
