stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,4,0,0,0,0
 24-34,0,0,0.82,1.64,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,21.34,0,0,0,0,0.82,0,11.49,0,0,11.49,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,5.64,0,0,0,0.81,0,0,4.83,0,0,20.14,0
 48-58,0,0,0,0,0,2.3,0,0.57,0,2.3,0,0.57,0,0,2.3,0,0,1.15,2.3,0.57,0,0,0,0.57,0,4.02,0,0,26.97,0
 60-70,0,0,1.96,0,0,4.91,0,0,0,0,0,0.98,0,0,0.98,0,0.98,0,16.69,0,0,0,0,0,0.98,2.94,0,0,27.48,0
 72-82,0,0,1.96,0,0,4.91,0,0,0,0.98,0,0,0,0,1.96,0,2.94,0.98,6.87,0,0,0,0,0,0,0,0,0,72.64,0.98
 84-94,0,0,0,1.06,0,3.19,1.06,0,0,0,0,0,0,1.06,0,0,3.19,0,4.25,0,0,0,0,2.12,1.06,0,0,0,61.6,0
 96-106,0,1.09,1.09,1.09,0,5.46,0,0,1.09,2.19,1.09,0,0,2.19,4.37,0,7.65,0,15.3,0,2.19,0,1.09,0,1.09,0,0,1.09,88.52,0
108-118,0,0,0,0,0.77,3.83,0,0,0,1.53,0,0,0.77,0,7.66,0.77,13.79,0.77,19.92,0.77,0,0,0,0,1.53,0.77,0.77,0.77,89.62,0
120,0,0,3.92,0,1.96,5.88,0,0,0,0,0,0,0,0,0,0,25.48,1.96,19.6,0,0,0,0,0,0,1.96,0,1.96,74.47,0
