stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,spinal_cord,vasculature,xanthophores
  3-4,685.25,2068.94,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0
  5-6,839.76,3542.93,12.26,0,0,0,0,0,0,12.26,0,0,91.94,24.52,61.3,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,5.26,0,0,0,13.14,0,0,31.54,7.89,155.09,0,2.63,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,37.76,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0.82,2.46,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,2.87,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,18.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,51.05,0,1.96,0,0,1.96,0,5.89,0,0,0,0,0,0,0.98
 84-94,0,0,0,1.06,0,25.49,1.06,0,0,0,1.06,0,4.25,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,19.67,0,1.09,0,0,1.09,1.09,2.19,0,0,0,0,0,0,0
108-118,0,0,0,0,0,16.09,0.77,0.77,0.77,0,0,0,3.06,0,0,0,0,0,0.77,0
120,0,0,0,0,0,17.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
