stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,10.51,2.63,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,6,1,0,0,0,0,0,0,1,0,0,1,3,15,0,0,0,0,1,1,1,2,7,1
 24-34,0,0,0,0,0,2.46,0,0.82,0,0,0.82,0,0,2.46,2.46,31.19,1.64,0,0.82,0,0,0,0,0.82,7.39,2.46
 36-46,0,0,0,0,0,3.22,0.81,0,0.81,0,0,0,0,6.45,3.22,53.98,0,0,0.81,0,2.42,0,0,0,15.31,0
 48-58,0,0,0,0,0,10.9,0,0,5.16,0,0,0,0,3.44,0.57,67.71,0,0.57,0,0,0.57,0,0,0,13.2,0
 60-70,0,0,0.98,0,0,25.52,0,0.98,0.98,0,0,0,0,18.65,0,91.28,0,0,0,0,1.96,0,0,0,12.76,0
 72-82,0,0,0,0,0,11.78,0.98,0,0,0,0,0,0,4.91,0.98,25.52,0,0.98,0,0,0,0,0,0,2.94,0
 84-94,0,1.06,1.06,0,0,7.43,1.06,0,0,1.06,0,0,0,3.19,0,14.87,0,0,0,0,2.12,0,0,0,3.19,0
 96-106,0,0,1.09,1.09,0,1.09,0,0,1.09,0,0,1.09,1.09,3.28,0,10.93,0,1.09,0,0,2.19,0,0,0,0,0
108-118,0,0,2.3,0,0.77,1.53,0.77,0,0.77,0.77,0,0,0,3.06,0.77,16.85,0,0,0,0,0.77,0,0,0,0.77,0.77
120,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,5.88,0,0,0,0,3.92,0,0,0,1.96,0
