stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,liver,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
 24-34,1.64,0,0,0,0,0,0,0,0,0,0,0,9.85,0,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0.81,0,0,21.75,0,0,7.25,0,0
 48-58,0,0,0,0,8.03,0,0.57,0,0,0.57,0,0.57,23.53,0,0,9.18,0,0
 60-70,0,0,0.98,0,39.26,0,1.96,0,0,0,0,0.98,32.39,0.98,0,4.91,0,0.98
 72-82,0.98,0,0,0,60.86,0,3.93,0.98,0,2.94,0,0,63.81,0,0,8.83,0.98,0
 84-94,0,0,0,0,46.73,1.06,5.31,0,0,1.06,0,0,31.86,1.06,2.12,2.12,0,0
 96-106,0,0,2.19,0,36.06,0,5.46,3.28,0,2.19,0,0,16.39,0,0,0,0,0
108-118,0,0.77,0,0.77,27.57,0.77,3.06,1.53,0.77,0,0.77,0,35.23,0,0,0.77,0,0
120,0,0,0,0,19.6,0,1.96,1.96,1.96,5.88,1.96,0,21.56,0,25.48,0,0,1.96
