stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,448.05,8974.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.38,0,0,0,0,0,0,0,0
  5-6,349.39,5216.32,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,61.3,0,0,0,12.26,61.3,0,0,0,0,0,0,0,0
  7-9,7.89,7.89,0,18.4,0,0,28.92,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,362.76,7.89,0,0,141.95,2.63,10.51,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,15.73,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,160.5,12.59,0,0,75.53,0,9.44,0,9.44,3.15,0,0,0,0
 14-21,0,0,1,0,17,5,4,0,0,0,3,4,1,0,0,1,0,0,10,0,0,5,79,1,0,2,2,3,0,8,7,4,24,1,0,0
 24-34,0,0,0,1.64,4.1,0.82,4.93,0,0,0,1.64,1.64,0,0,0,0,0,0.82,3.28,0,0,4.1,102.61,0,2.46,2.46,0,0,0,0,0.82,0.82,22.98,1.64,0,0
 36-46,0,0,0,0,0,0,15.31,0,0,0,3.22,0.81,0,0,0,0,0,0,14.5,0,0,0.81,142.6,0,6.45,0,0,1.61,0,0,0.81,0,28.2,3.22,0,0
 48-58,0,0,0,0,2.3,0,25.82,0,0,0,10.9,0,0,0,0,0,0,1.15,12.05,0,0.57,0.57,176.73,0,0,2.3,0,0,0,0,0.57,0,22.95,1.72,0,0.57
 60-70,0,0,0,0,1.96,0,38.28,0.98,0,0,4.91,1.96,0,0,0,0,0.98,0.98,11.78,0,0,2.94,244.4,0,1.96,1.96,0,1.96,0,0,0,0,24.54,0,0,0
 72-82,0,0,0.98,0,0.98,0.98,56.94,0,0,0,5.89,1.96,0,0.98,0,0.98,0,2.94,14.72,0.98,0.98,0.98,208.11,0,5.89,3.93,0,0,0,0,0,0,23.56,2.94,0,0.98
 84-94,0,0,0,0,4.25,0,35.05,0,2.12,0,9.56,0,0,0,0,0,0,4.25,8.5,0,0,0,108.33,0,1.06,7.43,0,0,0,0,0,0,15.93,0,0,0
 96-106,0,0,2.19,0,3.28,0,32.79,0,0,0,4.37,1.09,0,0,2.19,0,0,3.28,12.02,0,0,0,85.24,1.09,3.28,6.56,0,2.19,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0.77,0.77,3.83,0,19.92,0,0,1.53,1.53,0,0,0,0,0,0,5.36,6.89,0,0.77,0,95.75,0,3.83,2.3,0,3.06,0,0,0,0,3.06,0,0,0
120,0,0,0,0,0,1.96,11.76,0,0,0,1.96,0,0,0,0,0,0,3.92,3.92,0,0,1.96,88.19,0,3.92,9.8,0,0,0,0,0,0,0,0,1.96,0
