stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,mesenchyme,muscle,neural,otic,spinal.cord,vasculature
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0
 14-21,0,1,0,2,0,0,0,0,0,0,0,1,0,8,0,5,0
 24-34,0,0,0,0.82,0,1.64,0,0,0,0.82,0,2.46,0,13.13,0,3.28,0.82
 36-46,0,0,0,0,0.81,1.61,0,0,0,1.61,0,0.81,0,15.31,0,2.42,0
 48-58,0,0,0,0,0,2.3,0.57,0.57,0,1.72,0,1.72,0.57,13.2,0,3.44,0
 60-70,0,0,0,0,0,0.98,0,0,0,5.89,0,2.94,0,8.83,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0.98,2.94,0.98,0.98,0,5.89,0,0.98,0
 84-94,0,0,0,0,0,3.19,0,0,0,1.06,0,1.06,0,3.19,0,2.12,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0,1.09,1.09,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0
