stage,epidermis,eye,fin.mesenchyme,glial,ionocyte,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord
 14-21,1,0,0,0,0,0,0,2,0,0,0,1
 24-34,0.82,0,0,0,0,0,0,0.82,0,0,0,0.82
 36-46,0,0,0,0.81,0,0.81,0,0.81,0,0,0,0
 48-58,0,1.15,0,0,0.57,0.57,0,2.87,0.57,0,0,0.57
 60-70,0,2.94,0.98,0,0.98,0,0,0.98,0,0,0,0
 72-82,0,2.94,0,0,0,1.96,0,1.96,1.96,0,0,0.98
 84-94,0,3.19,0,0,0,0,0,1.06,0,1.06,2.12,0
 96-106,1.09,0,0,0,0,0,0,4.37,0,0,1.09,0
108-118,0,0,0.77,0.77,0.77,0,0.77,3.83,0.77,0,0,0
120,1.96,0,0,0,0,1.96,0,1.96,0,0,1.96,0
