stage,axial,blastomeres,endocrine.pancreas,exocrine.pancreas,eye,gut,liver,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,3.15,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0.82
 36-46,0,0,0,0,0.81,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,2.94,0,1.96,0,0.98,0,0,0
 72-82,0,0,0,0,5.89,0.98,4.91,0,0,0,0,0
 84-94,0,0,0,1.06,4.25,0,16.99,1.06,0,0,2.12,0
 96-106,0,0,0,0,5.46,0,12.02,2.19,1.09,0,1.09,0
108-118,0,0,0,0,4.6,0.77,49.02,0,0,0,0,0
120,0,0,0,0,1.96,0,7.84,0,1.96,0,0,0
