stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,presomitic.mesoderm,spinal.cord
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,6.29,0,0
 14-21,0,2,0,0,0,0,6,0,0,0,5,1
 24-34,0,0,0,0,0,0.82,1.64,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,4.83
 48-58,0,0,0.57,0,0,0,1.72,0,0.57,0,0,3.44
 60-70,0,0,1.96,0,0.98,0,14.72,0,0.98,0,0,6.87
 72-82,0,0,0,0,0,0.98,6.87,0,1.96,0,0,0.98
 84-94,0,1.06,1.06,1.06,1.06,0,8.5,0,0,0,0,1.06
 96-106,0,0,2.19,0,0,1.09,4.37,0,1.09,0,0,0
108-118,0,0,0.77,0,0,0,5.36,0,0.77,0,0,1.53
120,0,0,0,0,0,0,1.96,0,0,0,0,0
