stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,32,3,0,5,0,0,0,1,0,0,0,0,0,0,0,1,10,0,0,3,39,1,0,1,1,0,2,0,1,0,0,10,13,0,2,0,0
 24-34,0,15.6,0,0,2.46,0,0.82,0,0.82,0,0,0,0.82,1.64,0,0.82,1.64,3.28,0,0,2.46,71.41,0,0.82,0.82,0,0,0,0,0,1.64,0.82,0,12.31,0,1.64,0,0
 36-46,0,3.22,0.81,0,14.5,0,0,1.61,1.61,0,0,0,0.81,0,0.81,0,0.81,6.45,0,0.81,1.61,83.79,0.81,3.22,0.81,0,0,2.42,0,0,0,0,0,15.31,0,0.81,0,0
 48-58,0,2.3,0,0,21.8,0,1.15,1.15,3.44,0,0,0,0.57,0,0,0.57,0,8.03,0.57,0.57,1.15,81.48,0,0.57,1.15,0,0,1.15,0.57,0,0,0,0,16.07,0,0,0,0
 60-70,0,0.98,2.94,0,44.17,0,0.98,1.96,9.82,0,0.98,0,0.98,0,0,0,0,9.82,0,0,0.98,70.67,0,1.96,0.98,0,0,0.98,0,0,0,0,0,12.76,1.96,1.96,0,0
 72-82,0,2.94,4.91,0,53.01,0,0.98,0,12.76,1.96,0,0.98,1.96,0.98,0,0,0,16.69,0,0,0,78.53,0,0,0,0,0.98,0,0,0,0,0,0,5.89,1.96,0.98,0,0
 84-94,0,8.5,1.06,0,47.79,0,3.19,2.12,6.37,4.25,0,1.06,4.25,2.12,1.06,1.06,0,11.68,1.06,0,1.06,42.48,0,0,1.06,0,1.06,2.12,0,0,0,0,0,8.5,1.06,2.12,0,1.06
 96-106,1.09,7.65,3.28,0,22.95,1.09,1.09,0,7.65,3.28,0,1.09,3.28,0,0,0,0,10.93,0,2.19,0,38.25,0,3.28,2.19,0,2.19,7.65,0,0,0,0,0,2.19,0,3.28,6.56,0
108-118,0,9.96,1.53,0.77,19.92,0.77,2.3,0.77,3.83,0.77,0,0,1.53,0.77,0.77,2.3,0,11.49,0.77,0,1.53,39.83,0,2.3,2.3,0,0.77,2.3,0,0,0,0,0,1.53,0.77,0.77,0,0
120,0,7.84,1.96,0,11.76,0,3.92,0,5.88,0,0,0,3.92,3.92,0,0,0,7.84,0,0,3.92,29.4,0,0,1.96,0,0,1.96,0,0,0,0,0,1.96,0,1.96,0,0
