stage,epidermis,eye,glial,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,1,0,0,0,0,0,0,2,0,0,0,2,0,0
 24-34,1.64,0.82,0,0,1.64,0,0,17.24,0,0,0,4.1,0,0
 36-46,0.81,2.42,0,0,1.61,0,0,13.7,0.81,0,0,7.25,0,0
 48-58,0.57,3.44,1.15,0,4.59,0,0,11.48,0,0,0,1.15,0,0
 60-70,0,3.93,0,0.98,1.96,0.98,0,24.54,0,0.98,0,1.96,0,0
 72-82,0.98,3.93,1.96,0,6.87,0,0,18.65,0,0,0,2.94,0,0
 84-94,0,2.12,1.06,0,3.19,0,0,7.43,0,0,1.06,1.06,0,0
 96-106,0,1.09,0,1.09,0,0,0,5.46,0,0,0,0,1.09,0
108-118,0,3.06,0.77,0,0.77,0,0,9.19,0,0.77,0,0,0,0.77
120,0,0,0,0,5.88,0,1.96,19.6,0,0,0,0,0,0
