stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,heart,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,144.96,2661.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0
  5-6,128.72,1710.17,0,0,0,0,0,0,6.13,0,0,0,0,0,0,61.3,6.13,0,0,36.78,61.3,0,0,0,0,0,0
  7-9,13.14,13.14,39.43,0,0,21.03,0,0,21.03,0,0,0,0,0,0,496.83,15.77,0,0,168.24,0,5.26,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,25.18,0,0,12.59,0,0,0,0,0,0,141.61,15.73,0,0,88.12,3.15,3.15,0,6.29,0,0,0
 14-21,0,0,0,4,1,1,0,1,0,2,0,0,3,0,1,27,3,0,0,1,0,0,5,2,4,4,0
 24-34,0,0,0,1.64,0,0,0,0.82,0,0,0,0.82,3.28,0,0.82,17.24,0,0.82,0.82,0,1.64,0,0,0,0,4.1,1.64
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,2.42,0,0,0,0,1.61,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,2.3,0,0,0,0,1.15,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,1.06,0,0,0,0,0,3.19,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0.77,0,0,0,0,0,0
