stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,iridophores,liver,mesenchyme,muscle,neural,notochord,periderm,pronephros,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3
 24-34,0,0,0,0,27.09,0,0,0,0,0,0,0,3.28,0.82,0,0,0.82,1.64
 36-46,0,0,0,0,37.06,0,0,0,0,0,0,0.81,4.83,0,0,0,0,0
 48-58,0,0,0,0,44.18,0,0.57,0,0,0,1.15,0.57,4.02,0,0,0,0,0.57
 60-70,0,0,0,0,47.11,0,0.98,0,0,0,0,0,2.94,0,0.98,0,0,0
 72-82,0,0.98,0,0,56.94,0,0,0,0,3.93,0,0,5.89,0,0,0,0,0.98
 84-94,0,0,0,0,52.04,0,0,0,0,3.19,0,0,4.25,0,1.06,0,0,3.19
 96-106,0,0,1.09,1.09,44.81,0,1.09,1.09,1.09,42.62,0,1.09,7.65,0,2.19,0,2.19,1.09
108-118,0,0.77,0,0,43.66,0.77,0,0,0,92.68,2.3,0.77,8.43,0,0.77,0,0,2.3
120,0,0,1.96,0,29.4,0,1.96,0,0,66.63,0,0,7.84,0,0,1.96,1.96,0
