stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,0,1,0,0,0,1,1,0,0,1,35,0,0,0,0
 24-34,0,0,1.64,0,0.82,0,0,15.6,0,0,0,3.28,0,0,0,0,0,0,0,0,4.93,0,0,0,459.68,0,12.31,0,0,0,1.64,0,0,0.82,0,114.92,0,1.64,0,0.82
 36-46,0,0,0,0,0,0,0,48.34,0,0,0,8.06,0,0,0,0.81,0,0,0,0,7.25,0,0,1.61,928.94,0.81,16.92,0.81,0,0,0.81,0,0,0,0,185.3,0,0,0,1.61
 48-58,0,0,0.57,0,5.16,0,0,158.37,0,1.15,0,18.94,0,0,0,0,0.57,0,0,0,16.07,0,0,1.72,1226.79,0,12.05,0,0,0,4.02,0,0,0,0,211.73,0,0.57,0,0.57
 60-70,0,0,3.93,0,1.96,0,0,395.55,0,0,0,39.26,0.98,0,0,0,6.87,0.98,0,0,32.39,0,0,0,1757.91,0,21.59,2.94,0,0,1.96,0,0,0,0,208.08,0.98,0,0,3.93
 72-82,0,0,3.93,0,8.83,0.98,0,530.1,0.98,0,1.96,92.28,0.98,0,6.87,0,9.82,0.98,0,0.98,49.08,0,0.98,1.96,1840.62,0,27.49,0.98,0,0,0.98,0,0.98,0,0,136.45,0,0.98,1.96,0
 84-94,0,0,5.31,0,14.87,0,1.06,285.69,0,2.12,0,62.66,2.12,1.06,3.19,0,4.25,1.06,0,0,39.3,0,0,3.19,897.42,1.06,18.05,1.06,0,1.06,3.19,0,0,0,0,69.03,3.19,0,3.19,2.12
 96-106,0,0,1.09,0,8.74,3.28,1.09,215.29,0,1.09,1.09,100.54,1.09,1.09,4.37,1.09,5.46,1.09,1.09,0,22.95,1.09,2.19,2.19,817.45,0,30.6,9.84,0,1.09,7.65,0,0,1.09,0,41.53,1.09,1.09,3.28,0
108-118,0,0,2.3,0,9.19,3.83,0.77,186.89,0,0,0.77,87.32,0.77,0,3.06,0.77,3.06,0,1.53,0,17.62,0,0,0.77,883.16,0,26.81,5.36,0,0,4.6,0,0,0,0,21.45,5.36,0.77,3.06,0
120,0,0,1.96,0,21.56,1.96,1.96,248.89,0,1.96,0,111.71,1.96,0,5.88,0,3.92,0,0,0,37.24,1.96,0,1.96,1350.29,0,27.44,7.84,0,0,5.88,0,0,1.96,0,47.03,7.84,1.96,1.96,0
