stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0.82,0,0,2.46,0,0,0,1.64,0,0,0,0.82,0.82,0,0,0
 36-46,0,0,2.42,0,0,0.81,0,0,0,4.83,0,0,0,2.42,0,0,0,0,0.81,0,0,0
 48-58,0,0,4.59,0,0,0,0,0,0,3.44,6.31,0,0,1.72,0,0,0,0,2.87,0,0,0
 60-70,0,0,6.87,0,0.98,0,0,0,0,0.98,69.69,0.98,0,4.91,0,0,0,0,0,0,0,0
 72-82,0,0.98,5.89,0.98,0,0.98,0,0,0.98,0.98,221.86,0.98,0,8.83,0,0,0,0,0,0,0,0
 84-94,1.06,3.19,7.43,0,0,0,0,0,0,10.62,208.16,0,0,4.25,0,0,0,0,0,0,1.06,0
 96-106,1.09,1.09,5.46,0,1.09,0,0,1.09,0,4.37,89.61,0,0,5.46,1.09,0,1.09,2.19,0,0,0,0
108-118,0,0,3.06,0,0,0,0,0,0,7.66,72,0,0.77,4.6,0,0,1.53,0,0.77,0.77,0,0.77
120,0,3.92,1.96,0,0,0,0,0,0,3.92,54.87,0,0,7.84,0,0,0,0,0,0,0,0
