stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,30.65,631.35,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,12.26,6.13,0,0,0,0,0,0,0
  7-9,5.26,15.77,13.14,0,0,36.8,0,0,5.26,0,0,0,0,0,431.11,13.14,0,155.09,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,18.88,0,0,6.29,0,0,0,0,0,324.14,6.29,0,191.97,0,3.15,0,12.59,3.15,0,0,0
 14-21,0,0,0,3,1,4,0,0,0,0,0,0,2,7,25,2,1,1,0,0,21,0,24,11,0,0
 24-34,0,0,0,0.82,0.82,1.64,0,0,0,0,0,0.82,0.82,0,9.85,0,0.82,0,0,0,0,0,3.28,1.64,0.82,0.82
 36-46,0,0,0,0,0,1.61,0.81,0,0,0,0,0,0.81,0,8.06,0,0,0,0,0,0,0,0,2.42,0,0.81
 48-58,0,0,0,0.57,0,1.72,0.57,0,0,0,1.15,0,2.3,0,5.74,0,0.57,0,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,0,0.98,0.98,0,0,0,0,0,2.94,0,4.91,0,0,0,0,0,0,0,0,0,1.96,0.98
 72-82,0,0,0,0,0,1.96,0.98,0.98,0,0,0.98,0,1.96,0,3.93,0,0.98,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,0,1.06,1.06,0,1.06,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,3.28,0,1.09,0,0,3.28,0,0,0,2.19,0,0,0,0,0,0,0,0,0,2.19,2.19
108-118,0,0,0,0,0.77,0,0,0.77,0,0.77,3.83,0,0,0.77,1.53,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,1.96,0,0,0,0,0,0,1.96,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0
