stage,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,1,1,5,0,0,1,1,0,0,0,0,0,0,0,8,0,1,0,0,1,1,2,0,0,0
 24-34,0,0,0,0.82,0,0,1.64,0,0,0,0,0,4.93,0,0.82,28.73,0,0,0,0,0,0,4.1,0,0,0
 36-46,0,0,0.81,0.81,0,0.81,1.61,0.81,0,0,0,0,8.86,0,0,6.45,0,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0.57,0,0,1.15,1.15,0,0,0.57,0,8.03,0,0.57,4.59,0,0,0.57,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,0,0,3.93,0,0,0,0,0,4.91,0,0,3.93,0.98,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0.98,0,0,10.8,0,0.98,5.89,0,0,0,0,0,0,1.96,0,2.94,0
 84-94,0,0,1.06,1.06,0,0,3.19,0,1.06,0,0,1.06,10.62,0,1.06,4.25,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.19,0,1.09,1.09,1.09,0,1.09,0,0,0,10.93,0,0,4.37,0,0,0,1.09,0,0,0,0,0,1.09
108-118,0.77,0,0.77,1.53,0.77,0.77,3.06,0,0,0.77,0.77,0,10.72,0.77,2.3,1.53,0,0,0,0.77,0,0,0,0,0,0.77
120,0,0,0,0,0,0,1.96,0,0,0,0,0,7.84,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0
