stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,1278.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,815.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,21.03,0,34.17,0,0,60.46,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,573.06,21.03,0,0,215.55,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,44.06,0,6.29,75.53,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,506.66,28.32,0,0,204.55,0,0,25.18,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,3,27,6,15,0,0,0,24,1,0,0,0,1,0,0,0,24,0,16,218,3,3,6,7,0,41,16,0,25,118,0,0,1,0,0
 24-34,0,0,0.82,1.64,4.93,0,24.63,0,2.46,0,22.98,0,0,1.64,0.82,0,0,2.46,0,30.37,0.82,9.85,291.4,1.64,18.88,2.46,0,0.82,0,3.28,0,4.1,96.04,0,0,7.39,0,0
 36-46,0,0,0,0,0.81,0,73.32,0,0,1.61,15.31,0,0,1.61,0,0,0,0.81,0,26.59,0.81,4.03,332.74,0,25.78,0.81,0,2.42,0,0.81,0,0,82.98,0,0,2.42,0,0
 48-58,0,0,0.57,0,3.44,0,98.12,0,0,1.72,20.66,0,0,0,0,0,0.57,0.57,0,34.43,2.3,8.03,293.79,0,12.05,0,0,0.57,0,0,0,0,75.74,0,0.57,1.15,0,0
 60-70,0,0,0,0,1.96,0,138.39,0,0,0.98,34.35,0.98,0,0,0,0,0,1.96,0,51.04,1.96,4.91,237.53,0,14.72,3.93,0,0,0,0,0,0,53,0,1.96,0.98,0,0.98
 72-82,0,0,3.93,0.98,4.91,3.93,108.96,0,0,2.94,23.56,0,0,1.96,0,0.98,0.98,4.91,0,69.7,0,7.85,205.17,0.98,16.69,2.94,0,0.98,0,0.98,0,0,23.56,0,0,4.91,0.98,0
 84-94,0,0,1.06,0,7.43,4.25,108.33,0,1.06,2.12,28.68,0,0,0,0,1.06,1.06,2.12,0,66.91,4.25,3.19,113.64,0,13.81,7.43,0,0,0,5.31,1.06,0,24.43,0,1.06,1.06,5.31,0
 96-106,0,0,1.09,0,1.09,3.28,45.9,1.09,0,1.09,19.67,2.19,0,1.09,0,0,0,1.09,1.09,41.53,2.19,4.37,80.87,1.09,30.6,8.74,0,0,0,1.09,0,0,12.02,0,0,3.28,1.09,0
108-118,0,0,0,0.77,5.36,0.77,60.51,0,1.53,0.77,29.87,0.77,0,0,1.53,1.53,0.77,2.3,0.77,36.77,1.53,5.36,134.04,0,18.38,2.3,0,0,0,2.3,0,0,7.66,0.77,0.77,1.53,0.77,0.77
120,0,0,0,0,0,1.96,31.36,0,0,0,17.64,0,0,0,0,0,0,0,0,25.48,1.96,3.92,101.91,3.92,9.8,3.92,0,0,0,1.96,0,0,5.88,0,1.96,0,0,0
