stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,672.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,502.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,78.86,5.26,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,20,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,33,2,1,0,2,0,16,0,3,1,2,5,11,0,0,2,0,0
 24-34,0,0,0.82,18.88,0,7.39,0,1.64,1.64,0.82,0,0.82,4.93,0.82,2.46,0,0,0,0,13.13,0.82,0,3.28,73.06,2.46,2.46,0,0,0,34.48,0,0,3.28,1.64,2.46,25.45,0,0,9.85,0,0.82
 36-46,0,0,0,4.83,0,12.09,0.81,4.83,0,2.42,0.81,0.81,1.61,0.81,0.81,0,0.81,0,0,9.67,0.81,0.81,0.81,115.21,0,3.22,0,0,0,37.87,0,0,0,0.81,0,20.95,0,0,2.42,0,0.81
 48-58,0,0,0,4.02,0,23.53,0,1.15,0.57,5.16,0,0,0,1.72,0,0,1.15,0,0,11.48,1.15,0.57,0,109.6,0,0.57,0,0,0,20.66,0,0,0,0,0,31.56,0,0.57,7.46,0,0
 60-70,0,0,0,10.8,0,47.11,1.96,3.93,0,2.94,0,0,0,0.98,0,0,0,0,0.98,14.72,0.98,0,0.98,135.45,0.98,1.96,0,0,3.93,20.61,0,0,0,2.94,0,22.58,0,0,1.96,0,0
 72-82,0,0,0,4.91,0.98,50.06,0.98,2.94,0.98,13.74,1.96,0,0,1.96,0.98,0.98,0.98,0.98,0,27.49,0.98,1.96,0.98,124.67,0,2.94,1.96,0,0.98,17.67,0,0,0,0,0,7.85,0.98,1.96,5.89,2.94,0.98
 84-94,0,0,0,24.43,2.12,39.3,0,3.19,1.06,4.25,3.19,0,0,3.19,2.12,1.06,1.06,1.06,1.06,15.93,0,1.06,1.06,62.66,2.12,1.06,0,0,0,57.35,0,0,1.06,0,0,7.43,2.12,2.12,3.19,5.31,0
 96-106,0,0,0,20.76,0,38.25,0,3.28,1.09,5.46,5.46,0,0,9.84,4.37,1.09,2.19,0,0,13.11,1.09,1.09,3.28,53.55,1.09,0,1.09,0,0,50.27,0,0,1.09,0,0,2.19,1.09,2.19,4.37,4.37,0
108-118,0,0,0,17.62,0.77,17.62,1.53,2.3,0,7.66,7.66,0,0,5.36,2.3,1.53,0.77,2.3,0,15.32,0,1.53,1.53,48.26,0,2.3,1.53,0,0.77,26.81,0,0,0.77,0.77,0,2.3,0.77,3.06,4.6,2.3,0
120,0,0,0,11.76,0,27.44,0,5.88,0,3.92,5.88,0,0,3.92,5.88,1.96,1.96,0,0,11.76,0,1.96,0,84.27,0,0,1.96,0,1.96,25.48,0,0,1.96,1.96,0,1.96,3.92,0,1.96,1.96,0
