stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,26,0,0,1,1,0,1,2,0,0,2,15,0,0,0
 24-34,0,0,0,1.64,0,0,6.57,0.82,0,0,0,0,0,0,0,0,6.57,0,0,1.64,43.51,0,0,0,0,0,2.46,0,0.82,0,0.82,15.6,0.82,0,0.82
 36-46,0,0,0,1.61,0.81,0,10.47,0,0,0,0,0,0,0,0,0,4.03,0,0,2.42,31.42,0,0,0,0,0,0,0,0,0,0,6.45,0,0,0
 48-58,0,0,0,0.57,0,0,14.35,2.87,0,0,0,0,0,0,0,0,6.89,0,0,1.15,20.66,0,0.57,0,0,0,0,0,0,0,0,6.89,0.57,0,0
 60-70,0,0,0,1.96,0,0,11.78,4.91,0,0,0.98,0,0,0,0,0,4.91,0,0,2.94,24.54,0,0,0,0,0,0.98,0,1.96,0,0,3.93,0.98,0,0
 72-82,0,0,0,0,0,0.98,9.82,0.98,0,0,0,0,0,0,0,0,10.8,0,0.98,0.98,19.63,0.98,0,0.98,0,0,2.94,0,0.98,0,0,0,1.96,0,0
 84-94,0,0,0,1.06,1.06,0,9.56,3.19,0,0,0,0,0,0,0,1.06,5.31,0,0,0,9.56,1.06,1.06,1.06,0,0,1.06,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,2.19,0,0,8.74,1.09,1.09,0,0,0,0,1.09,1.09,0,3.28,1.09,0,0,20.76,0,2.19,1.09,0,1.09,1.09,0,0,0,0,1.09,0,0,1.09
108-118,0,0,0,2.3,0.77,0.77,6.13,3.83,1.53,0,0,0.77,0.77,0,0,0,9.96,0,0.77,0.77,12.26,0,0,1.53,0,0,2.3,0,0,0.77,0,0,0,0,0
120,0,0,0,3.92,0,0,7.84,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,5.88,0,0,1.96,0,0,0,0,0,0,0,1.96,1.96,1.96,0
