stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,3,0,0,0
 24-34,0,0.82,0,1.64,0,0,0,0,0,0,0,0,1.64,0,0.82,13.95,0,0,0,0,0,0,8.21,0,0,0
 36-46,0,0,0,1.61,0,0,1.61,0,0,0,0,0,1.61,0,0,20.14,0,0,0,0,0,0,8.06,0,0,0
 48-58,0,0,0,4.59,0,0,0.57,0,0,0,0,0,1.72,0,0,23.53,0,0,0,0,0,0,2.87,0,0,0.57
 60-70,0,2.94,0,6.87,0,0,1.96,0,0,0.98,0,0,3.93,0,0.98,15.7,0,0.98,0,0,0,0,0.98,0,0,0
 72-82,0,0.98,0,5.89,0,0,0.98,0,0.98,0,0.98,0.98,5.89,0.98,0,12.76,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,3.19,1.06,0,1.06,0,0,0,0,0,1.06,0,1.06,6.37,0,0,0,1.06,0,0,1.06,1.06,0,0
 96-106,0,1.09,0,1.09,0,1.09,3.28,1.09,1.09,0,0,0,4.37,0,0,7.65,0,1.09,0,1.09,0,1.09,1.09,0,0,0
108-118,0,0,0,2.3,0,0,2.3,0,0,0,0,0,4.6,0,0,12.26,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,9.8,0,0,3.92,0,1.96,0,0,0,3.92,0,0,17.64,0,0,0,0,0,0,0,0,1.96,0
