stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.05,0,0,0,18.88,6.29,0,3.15,0,3.15,0,0,0,0
 14-21,1,0,6,75,1,0,0,2,0,4,0,1,0,0,0,6,0,0,1,5,3,0,0,0,7,11,0,2,28,2,0,0,0
 24-34,0,0,4.93,20.52,0,0,0.82,3.28,0,2.46,0,0,0,0.82,0.82,4.1,0,0,1.64,6.57,0,0.82,0,0,41.04,0,0,0,6.57,0,0,0,0.82
 36-46,0,0,0,15.31,0,1.61,0,7.25,0,0.81,0,0,0,2.42,0,1.61,1.61,0,0.81,3.22,2.42,0.81,0,0,70.09,0,0.81,0,0.81,1.61,0,0,0.81
 48-58,0,0,0,4.02,0,1.15,0.57,6.89,0.57,0,0,0,0,1.72,0,0,0,0.57,0.57,2.3,0.57,0,0,0,26.97,0,0,0,0,1.15,0,0.57,0.57
 60-70,0,0,0,13.74,0,3.93,0.98,7.85,0,2.94,0,0,0,0,0,2.94,0,0,0,1.96,0.98,0.98,0.98,0,25.52,0,0,0,0,0,0,0,0
 72-82,0,0,0,6.87,0,1.96,0,2.94,0.98,1.96,0,0,0,0,0.98,1.96,0,0,0,1.96,0,0,1.96,0,8.83,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,23.36,0,2.12,0,7.43,0,3.19,0,0,1.06,0,0,1.06,0,0,1.06,1.06,0,1.06,2.12,0,32.92,0,0,0,0,1.06,1.06,0,0
 96-106,0,0,0,36.06,0,3.28,0,6.56,0,2.19,0,0,1.09,1.09,0,1.09,0,0,0,3.28,0,1.09,0,0,20.76,0,0,0,0,0,2.19,0,1.09
108-118,0,0,0,23.74,0,0.77,0,6.89,0,1.53,0,0,1.53,0,0,0.77,0,0,0,3.83,1.53,0,3.06,0,15.32,0,0.77,0,0,0,4.6,0,0
120,0,0,0,15.68,0,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,1.96,0,11.76,0,1.96,0,0,0,1.96,1.96,0
