stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,49.04,496.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,10.51,13.14,21.03,0,0,65.72,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,541.51,13.14,0,0,155.09,2.63,5.26,0,0,0,0,0,0,0,0
 10-12,0,9.44,15.73,0,6.29,44.06,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,396.52,15.73,0,0,141.61,0,0,0,22.03,0,0,0,0,0,0
 14-21,0,0,4,26,12,30,0,0,3,1,1,0,0,0,0,0,0,0,17,0,27,256,7,3,1,8,0,0,35,2,0,29,110,3,0,0
 24-34,0,0,0,6.57,0,91.12,0,1.64,3.28,0,0,1.64,1.64,0,0.82,0,0.82,0.82,54.18,0,22.16,272.52,2.46,0.82,2.46,0,2.46,0,0,0,0,4.93,62.39,4.1,0,0
 36-46,0,0,0,0,0.81,124.07,0,0,8.06,0,0,0,0.81,0,0.81,0,0.81,0,39.48,0,15.31,210.28,0,0.81,1.61,0,0.81,0,0,0,0,0,32.23,0.81,0,0
 48-58,0,0,0,0.57,0,164.68,0,1.15,14.35,0,0,0,1.15,0,0.57,1.15,0,0,36.72,2.87,9.75,119.93,0,0,1.15,0,1.15,0.57,0,0.57,0,0,14.92,2.3,0,0
 60-70,0,0,0,2.94,0,94.23,0.98,0,11.78,1.96,0,0,0.98,0.98,1.96,0,1.96,0,21.59,1.96,3.93,62.82,0,0.98,0,0,0,0,0,0,0,0,5.89,0,0,0.98
 72-82,0,0,0,3.93,1.96,35.34,0,3.93,20.61,0,0,0.98,0,0.98,0,0.98,0.98,0,37.3,1.96,7.85,83.44,0,0.98,0,0,0.98,0,0,0,0,0,5.89,6.87,0.98,0.98
 84-94,0,0,0,6.37,0,42.48,0,1.06,19.12,2.12,0,0,2.12,2.12,0,0,1.06,0,30.8,2.12,12.74,54.16,0,0,3.19,0,1.06,0,0,0,0,0,0,4.25,1.06,0
 96-106,1.09,0,0,7.65,0,21.86,0,1.09,13.11,0,0,0,3.28,0,0,2.19,1.09,0,20.76,2.19,4.37,37.16,0,0,1.09,0,4.37,0,0,0,0,0,1.09,1.09,1.09,1.09
108-118,0,0,0,2.3,2.3,25.28,0.77,0,12.26,1.53,0,0,2.3,0.77,0,0,1.53,0,15.32,0,3.83,58.21,0.77,1.53,1.53,0,2.3,0,0,0,0.77,0,0,0.77,0,0
120,0,0,0,9.8,3.92,25.48,0,0,13.72,0,0,0,0,0,0,0,0,0,15.68,0,9.8,35.28,0,0,1.96,0,1.96,0,0,0,0,0,0,0,1.96,1.96
