stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,13.14,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,2,8,3,8,0,0,2,2,0,0,0,0,0,0,2,13,0,6,95,4,0,6,2,0,0,21,1,2,24,50,0,0,1,0
 24-34,0,0,0,0,4.1,0.82,18.88,0,1.64,3.28,0,0,0,0,0.82,0.82,0,9.03,18.06,0,12.31,188.8,0.82,0,1.64,0,0,0,0,0.82,0,2.46,28.73,0,0,4.93,3.28
 36-46,0,0,0,0,5.64,0,21.75,0,2.42,9.67,0,0,0,0,0,0,0,4.03,16.11,0.81,8.06,144.21,0.81,0,4.03,0,0.81,0,0.81,0,0,0,24.98,0,0,1.61,0.81
 48-58,0,0,0,0,2.87,0,43.61,0.57,4.02,12.05,0,0,0,0,0,0,0.57,1.72,25.25,1.15,7.46,144.03,0.57,0,0.57,0,0,0,0,0,0,0,28.69,0,0,1.15,1.72
 60-70,0,0,0,0,1.96,0,58.89,0.98,3.93,12.76,0,0.98,0,0,0,0,0,1.96,34.35,0.98,0.98,121.71,0,0,0,0,0,0,0,1.96,0,0,22.58,0,0,0,0.98
 72-82,0,0,0,0,1.96,0,67.73,1.96,0,21.6,0,0,0,0,2.94,0,0,2.94,45.16,3.93,8.83,98.17,0,0,0,0,0,0,0,0,0,0,9.82,0,0,2.94,2.94
 84-94,0,0,0,0,7.43,1.06,35.05,1.06,4.25,14.87,0,1.06,0,1.06,0,1.06,0,1.06,22.3,1.06,6.37,60.54,0,0,2.12,0,1.06,0,0,1.06,0,0,4.25,1.06,0,3.19,0
 96-106,0,0,1.09,0,4.37,0,37.16,1.09,2.19,15.3,0,0,1.09,1.09,1.09,1.09,0,0,19.67,1.09,7.65,40.44,0,0,0,0,1.09,0,0,1.09,0,0,4.37,0,0,0,1.09
108-118,0,0,0,0,5.36,0,17.62,1.53,2.3,13.02,0,0,1.53,0,0,0,0,4.6,15.32,0.77,3.83,49.79,0,0.77,0,0,0.77,0,0,0,0,0,1.53,0,0.77,3.06,0.77
120,0,0,0,0,3.92,1.96,13.72,0,1.96,5.88,0,0,0,0,0,1.96,0,0,13.72,0,1.96,21.56,0,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0,1.96,0
