stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,0,0,0,12.59,0,0,18.88,0,0,0,0,0,0
 14-21,0,0,0,0,17,1,0,1,0,0,1,0,0,0,0,0,3,0,0,1,11,1,0,0,1,0,0,18,1,2,0,0,4,0
 24-34,0,0,0,0,1.64,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,4.93,0,0,1.64,0,0,0,1.64,0,0.82,0,0,7.39,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,1.61,0.81,0,0,0,0.81,0,1.61,0,0,0.81,0
 48-58,0,0,0,0,2.3,0,0,0.57,0,0.57,0,0,0,0,0.57,0,0.57,0,0,0,0.57,0,0,0,0,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,4.91,0.98,0,1.96,0.98,5.89,0,0,0,0,0.98,0,3.93,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.96,0,11.78,0,0,1.96,0,6.87,4.91,0,0,0,7.85,0,3.93,0,0.98,1.96,10.8,0,0,1.96,0,0.98,0,0.98,0,0,2.94,2.94,0,0
 84-94,0,0,6.37,0,43.54,0,0,2.12,1.06,6.37,10.62,0,1.06,4.25,6.37,2.12,4.25,2.12,1.06,0,9.56,0,0,1.06,0,0,0,6.37,0,0,8.5,0,0,0
 96-106,0,0,5.46,0,100.54,0,0,2.19,2.19,8.74,41.53,0,1.09,4.37,9.84,3.28,3.28,1.09,0,0,8.74,1.09,0,2.19,0,0,0,2.19,0,1.09,29.51,1.09,0,0
108-118,0,0,3.83,0,144,0,0.77,6.89,2.3,3.06,49.79,0,3.83,3.06,11.49,6.13,3.83,0,0.77,0,9.19,0.77,0,3.83,0,0,4.6,4.6,0,0.77,30.64,1.53,0,1.53
120,1.96,0,5.88,0,184.22,1.96,0,3.92,5.88,9.8,96.03,1.96,3.92,3.92,1.96,5.88,7.84,0,0,0,19.6,0,0,5.88,0,0,0,3.92,0,0,5.88,0,0,0
