stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,606.83,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,31.54,0,97.26,0,0,0,26.29,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,930.56,23.66,0,0,415.34,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,28.32,0,3.15,0,15.73,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,607.37,28.32,0,0,201.41,0,3.15,0,0,15.73,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,2,17,10,0,10,0,0,0,5,2,0,0,0,0,0,0,0,11,0,0,6,143,1,1,1,4,0,0,0,9,2,0,9,66,0,0,1,0,0
 24-34,0,0,0,0.82,9.85,2.46,0,15.6,0,2.46,0.82,13.95,0.82,0,2.46,0,0,1.64,0,2.46,36.12,0,0,16.42,398.94,0,2.46,2.46,0,0,5.75,0,0,0.82,0,4.1,130.52,0,0,8.21,0,0
 36-46,0,0,0,0,3.22,0.81,0,17.72,0,0.81,1.61,38.67,0.81,0,0,0,0,0.81,0,0,37.06,0,0.81,7.25,677.57,0.81,1.61,6.45,0,0,0,0.81,0,1.61,0,0,183.69,0,0,6.45,0,0.81
 48-58,0,0,0,0,8.61,0.57,0,59.68,0.57,1.72,1.72,83.78,0.57,0,4.02,0,0,0.57,0.57,1.15,50.49,0,0.57,10.9,724.72,1.15,2.3,8.03,0,0,2.87,0,0,0.57,0,0,192.22,0,0,4.59,0,1.72
 60-70,0,0,0,0,0.98,0,0,96.19,0,0,0.98,130.54,0,0,5.89,0,2.94,0,0,0,38.28,0.98,0.98,7.85,696.88,0,0,1.96,0,0,0,0,0,0,0,0,135.45,0,0,2.94,0,0
 72-82,0,0,0,0,5.89,1.96,0,114.85,0,0,2.94,206.15,0,0,0.98,0.98,0,0.98,0,0.98,49.08,0,0,5.89,422.11,0,1.96,10.8,0,1.96,0.98,0,0,0.98,0.98,0,79.51,0.98,0.98,5.89,0.98,0
 84-94,0,0,0,0,6.37,1.06,0,105.14,0,1.06,2.12,105.14,1.06,0,3.19,0,1.06,2.12,2.12,1.06,30.8,0,0,2.12,187.98,0,4.25,18.05,0,1.06,3.19,0,0,0,0,0,33.99,1.06,1.06,5.31,0,0
 96-106,0,0,1.09,0,5.46,1.09,0,75.41,0,1.09,2.19,103.82,0,0,2.19,0,1.09,2.19,0,0,24.04,0,0,3.28,133.33,0,3.28,27.32,0,0,3.28,0,0,0,0,0,27.32,1.09,0,3.28,1.09,0
108-118,0,0,0,0,5.36,0,1.53,44.43,0,0,3.83,108.77,0,0,0,0.77,2.3,2.3,0.77,0,20.68,0,0,0,159.32,0,2.3,20.68,0,0,3.83,0,0,0,0.77,0,10.72,2.3,0.77,5.36,0.77,0
120,0,0,0,0,1.96,0,0,47.03,1.96,0,3.92,133.27,3.92,0,5.88,0,0,0,0,0,11.76,0,0,1.96,229.29,0,0,19.6,0,0,1.96,0,0,0,0,0,21.56,3.92,0,1.96,0,0
