stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.5,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,13,43,6,0,14,0,1,0,20,2,0,0,0,0,0,0,0,39,0,0,21,1388,1,0,3,0,0,2,9,3,0,38,236,0,0,3,0,0
 24-34,0,0,1.64,3.28,73.88,1.64,0,23.8,0,1.64,0,42.68,0.82,1.64,0.82,0,0.82,2.46,1.64,0,100.14,0,0.82,38.58,2268.03,0.82,0,15.6,0,0,18.88,0,12.31,0.82,7.39,497.44,0,0,25.45,0,2.46
 36-46,0,0,0,0.81,32.23,0,0,19.34,1.61,0,2.42,128.1,2.42,0.81,0,0.81,0.81,0.81,0.81,1.61,151.47,1.61,3.22,34.64,1841.76,1.61,0,8.06,0,0.81,17.72,0,6.45,0.81,0.81,572.83,0,0,10.47,0,0.81
 48-58,0,0,0,0.57,28.69,0.57,0,57.95,0.57,0.57,2.87,246.74,0.57,3.44,0,0,0,0.57,1.72,0,210.01,0.57,8.61,24.1,1209.58,0,0.57,10.9,0,1.72,8.03,0,2.3,0,0,402.81,0,0.57,16.64,0,1.15
 60-70,0,0,0,0,34.35,0,0,83.43,0,0.98,0,239.49,1.96,4.91,0,0,0,0,0.98,0,285.62,0.98,11.78,12.76,1069.86,0,0.98,9.82,0,5.89,3.93,0,2.94,0,0,264.03,0,6.87,14.72,0,1.96
 72-82,0,0,5.89,0.98,45.16,0.98,0,199.28,0,1.96,10.8,297.44,7.85,9.82,0.98,0,2.94,1.96,1.96,0,411.32,0,14.72,15.71,918.84,0,2.94,7.85,0,6.87,3.93,0,3.93,0,0,193.39,1.96,7.85,28.47,13.74,3.93
 84-94,0,0,4.25,0,76.47,3.19,0,182.67,0,3.19,4.25,183.73,9.56,1.06,2.12,3.19,1.06,3.19,1.06,0,268.7,1.06,19.12,16.99,461.99,0,0,8.5,0,2.12,14.87,0,5.31,0,0,107.27,0,12.74,38.23,11.68,1.06
 96-106,0,0,3.28,1.09,59.01,5.46,0,187.97,1.09,3.28,4.37,171.58,12.02,4.37,0,1.09,0,4.37,7.65,0,236.05,0,20.76,8.74,439.32,1.09,0,24.04,0,13.11,7.65,0,3.28,1.09,0,72.13,1.09,8.74,36.06,10.93,2.19
108-118,0.77,0,1.53,1.53,37.53,1.53,0.77,110.3,0.77,3.06,3.83,140.94,15.32,1.53,0.77,4.6,0,3.83,3.06,0,236.68,0,15.32,9.96,480.26,0,0.77,8.43,0,0,12.26,0,4.6,0,0,47.49,0,3.06,30.64,9.96,0.77
120,0,0,0,0,37.24,1.96,0,94.07,1.96,1.96,7.84,137.18,17.64,5.88,3.92,5.88,0,0,1.96,0,164.62,0,11.76,9.8,505.62,0,0,11.76,0,5.88,13.72,0,1.96,0,0,27.44,0,5.88,15.68,5.88,0
