stage,blastomeres,epidermis,eye,fin_epithelia,gut,immune,ionocyte,lateral_line,liver,mucous,neural,periderm,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,2.46,0,2.46,0
 36-46,0,0,0,0,0,0,0,0,0,2.42,0,3.22,0
 48-58,0,0,0,0.57,0,0,0,0,0,5.74,0.57,1.72,0
 60-70,0,0.98,0,0,0,0,0.98,0,0,4.91,0,3.93,0
 72-82,0,0,0,0.98,0,0,0,0,1.96,8.83,0.98,0,0
 84-94,0,3.19,0,0,2.12,0,1.06,0,1.06,9.56,0,9.56,0
 96-106,0,2.19,1.09,1.09,3.28,0,2.19,1.09,1.09,13.11,1.09,1.09,0
108-118,0,2.3,0.77,1.53,2.3,1.53,0.77,0,3.06,4.6,0.77,3.83,2.3
120,0,1.96,0,0,3.92,0,1.96,0,0,5.88,3.92,9.8,0
