stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,heart,immune,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,1396.86,23035.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777.5,0,0,0,0,0,0
  5-6,962.35,11217.23,36.78,0,0,0,0,0,18.39,0,0,0,0,0,760.07,0,239.06,183.89,0,0,0,0,0,0
  7-9,13.14,107.78,315.45,0,0,21.03,0,0,94.63,0,0,0,0,0,1167.15,26.29,1834.84,5.26,23.66,0,5.26,0,0,0
 10-12,0,91.26,154.2,0,22.03,22.03,0,0,12.59,0,0,0,0,0,402.81,12.59,538.13,3.15,12.59,0,283.23,6.29,0,0
 14-21,0,0,0,2,63,1,0,0,0,0,0,0,8,5,11,1,3,0,0,10,0,5,2,0
 24-34,0,0,0,0,8.21,0,2.46,0,0,0.82,0,0.82,3.28,1.64,9.85,0.82,0,0,0,0,0,5.75,1.64,2.46
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0.81,0.81,0,0,0.81,0,0,0,0,0.81,0
 48-58,0,0,0,0,0.57,1.15,0,0,0,0,0,0,1.15,0,1.72,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,2.94,0.98,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,1.96
 72-82,0,0,0,0,7.85,0,0,0.98,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,7.43,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,7.65,1.09,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,6.13,0,0,0,0,0,0.77,0,0.77,0,2.3,0,0,0,0,0,0,0,0,0
120,0,0,0,0,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96
