stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,21.03,0,0,31.54,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,226.07,10.51,0,0,97.26,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,6.29,0,0,44.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.76,9.44,0,0,69.23,0,0,3.15,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,1,6,2,4,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,7,41,1,0,2,0,0,0,0,5,1,0,26,19,0,0,0,0,0
 24-34,0,0,1.64,0,4.1,0.82,3.28,0,0,1.64,0.82,0,0,0,0,0,0.82,0,0.82,5.75,0,0,0,43.51,0,0,0.82,0,0,1.64,0,0,0.82,0,1.64,15.6,0,0,0,0,0
 36-46,0,0,0,0,0,0,2.42,0,0,3.22,0,0,0.81,0,0.81,0,0,0,0,9.67,0,0,0.81,14.5,0,1.61,0.81,0,0,0.81,0.81,0,0,0,0,7.25,0,0,0.81,0,0
 48-58,0.57,0,0,0,1.15,0,2.87,1.15,0,7.46,0,0,0,0,0,0,0,0,2.3,10.33,0.57,0,2.87,13.77,0,1.15,0.57,0,0,0,0,0,0,0.57,0,5.16,0,0,0,0,1.15
 60-70,0,0,0,0,2.94,0,4.91,0,0,37.3,0,0,0,0,0,0,0,0,0,41.22,0,0.98,0.98,12.76,0,0,0,0,0,1.96,0,0,0,0.98,0,10.8,0,0,0.98,0,0.98
 72-82,0,0,0,0,1.96,0.98,7.85,0,0,17.67,0.98,0,0.98,0,0.98,0,0.98,0,0,36.32,0.98,0.98,2.94,14.72,0,0,0.98,0,0,0.98,0,0,0,0,0,3.93,0,0,0,0,0.98
 84-94,0,0,0,0,4.25,0,6.37,0,1.06,22.3,3.19,0,0,1.06,2.12,1.06,2.12,0,1.06,24.43,0,1.06,4.25,10.62,0,2.12,1.06,0,0,5.31,0,0,1.06,0,0,4.25,0,0,1.06,0,0
 96-106,0,0,0,0,3.28,0,7.65,0,2.19,14.21,5.46,0,0,2.19,1.09,2.19,2.19,0,0,18.58,2.19,0,4.37,17.49,0,1.09,1.09,0,1.09,7.65,0,0,0,0,0,1.09,0,0,0,0,1.09
108-118,0,0,0,0.77,5.36,0.77,9.96,0,2.3,9.96,1.53,0,0,1.53,1.53,0.77,0.77,0,0,26.81,0,0.77,3.06,10.72,0,2.3,3.83,0,0,9.19,0,0,0,0,0,1.53,0,0.77,5.36,0,0
120,0,0,0,0,3.92,0,5.88,1.96,3.92,5.88,0,0,0,3.92,0,1.96,0,1.96,1.96,15.68,0,0,1.96,15.68,1.96,1.96,9.8,0,0,15.68,0,0,1.96,0,0,3.92,1.96,0,0,1.96,1.96
