stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,220.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,102.52,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.26,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,1,1,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,294,0,5,1,0,0,0,0,0,1,135,0,0,0,0
 24-34,0,0.82,0,2.46,0,0,37.76,0,0,0,13.95,0,0,0.82,0,0,0,0,0.82,3.28,0,0,1.64,884.88,0,12.31,2.46,0,0,0,0,0,1.64,201.93,0,0,0,0.82
 36-46,0,0,0,0.81,0,0,196.58,0,0,0,45.92,0,0,0,0,0,0,0,0.81,4.03,0,0,0.81,1453.43,0,10.47,0.81,0,3.22,0.81,0.81,0,0,277.96,0,0,0,0
 48-58,0,0,0,2.87,0.57,0,391.91,0.57,0.57,1.15,87.22,0,0,0,0,0.57,0,0,1.15,8.03,0,0,2.3,1392.05,1.72,4.02,0.57,0,0.57,0.57,0,0.57,0,264.52,0,0,0,1.72
 60-70,0,0.98,0,3.93,0,0,491.74,0.98,2.94,0,100.12,0,0.98,0,0,1.96,0,0,1.96,8.83,0,0,0,1287.76,0,7.85,1.96,0,0.98,0,0,0,0,155.08,0,0,0.98,0.98
 72-82,0,0,0,7.85,2.94,0,390.7,0,0,0.98,65.77,0.98,0,0.98,0,0.98,1.96,0.98,0.98,11.78,0,0,0.98,915.89,0,9.82,1.96,0,1.96,0,0,0,0,75.59,0,0.98,0,0
 84-94,0,0,0,2.12,1.06,1.06,216.66,0,2.12,1.06,52.04,2.12,0,1.06,1.06,2.12,1.06,0,0,10.62,0,1.06,0,448.18,0,4.25,7.43,0,1.06,0,0,0,0,40.36,0,2.12,2.12,0
 96-106,0,0,1.09,8.74,1.09,0,146.44,0,0,2.19,44.81,0,0,0,0,2.19,1.09,0,0,18.58,0,1.09,1.09,350.8,0,10.93,10.93,0,2.19,0,0,0,0,10.93,0,2.19,1.09,0
108-118,0,0.77,0,5.36,2.3,0.77,107.23,0,0,0,41.36,0,0,0.77,1.53,0,1.53,0,0.77,3.06,0.77,0.77,0,392.94,0,2.3,3.83,0,0.77,0,0,0,0,12.26,0.77,0,0,0
120,0,0,0,9.8,0,0,121.51,0,1.96,0,27.44,1.96,0,0,1.96,0,3.92,0,0,9.8,1.96,1.96,1.96,329.24,0,3.92,1.96,0,0,0,0,0,0,17.64,0,0,1.96,0
